biosample_id,n_cells
112584_N25imu_pilot6,10532
HC7_imu,9823
144119_N19_epi,9693
F21_imu,8302
N10resample_imu,7563
F20A_imu,7072
112584_F25imu_pilot6,6919
110748_N20_imu,6910
N10resample_epi,6563
115284_N_immune,6439
100397_N8_imu,6410
110748_F20B_imu,6242
110201_F18_epi,5999
144119_F19_imu,5512
HC8_imu,5484
110748_F20B_epi,5345
178961_N6_imu,5311
H10_imu,5299
182097_F9_imu,5210
117351_F17C_imu,5077
117351_F17_imu,5072
N19_imu,4838
1108147_CD1_imu,4827
HC4_imu,4798
HC8_epi,4767
F21_epi,4664
H10_epi,4534
161862_SP2_imu,4449
N22_colon_imu,4434
F2_imu,4416
110748_F20A_epi,4303
HC3_imu,4294
20210216_143371_N23_imu,4209
HC3_epi,4138
20210208_110645_N21_imu,4120
HC7_epi,4000
N2_imu,3980
105387_N11_epi,3974
178961_F6_epi,3899
117351_I15_imu,3830
117351_F17_epi,3768
127643_N16_imu,3766
N20_epi,3678
161862_SP1_imu,3641
197414_N10_imu,3637
105387_N11_imu,3548
N22_ileum_imu,3545
117351_F17B_epi,3318
178961_F6_imu,3136
20210216_143371_F23_imu,3099
182097_N9_imu,3088
112584_N25epi_pilot6,3068
105387_F11_epi,3060
117351_N17_imu,3045
105387_F11_imu,3020
144119_F19_epi,3012
110201_N18_imu,2917
127643_N16_epi,2875
105569_N12_imu,2844
N24_imu,2844
HC2_epi,2679
N22_ileum_epi,2641
N22_colon_epi,2606
117351_N15_epi,2598
105569_F12_2_imu,2580
20210216_143371_I23_imu,2476
117351_F17B_imu,2393
127643_F16_imu,2372
20210208_110645_N21_epi,2251
100397_F8_imu,2226
N24_epi,2104
178961_N6_epi,2099
1109422_F4_imu,2089
105569_F12_imu,1992
HC1_imu,1880
117351_N17_epi,1744
110201_N18_epi,1661
181961_F3_immune,1596
197414_N10_epi,1486
110201_F18_imu,1479
100397_F8_epi,1433
197414_F10_imu,1400
197414_F10_epi,1337
117351_F17C_epi,1258
105569_N12_epi,1174
105446_F14_imu,1097
HC2_imu,904
105569_F12_2_epi,887
N3_imu,887
105569_F12_epi,802
20210216_143371_I23_epi,721
112584_F25epi_pilot6,717
115284_N_epithelial,648
HC5_epi,562
HC1_epi,465
105446_N14_imu,341
117351_N15_imu,327
127643_F16_epi,296
100397_N8_epi,240
HC5_imu,180
115284_F_immune,126
161862_SP1_epi,103
