metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
L-Histidine,6.852926850952151,8.48591640829085,10.475941415492715,8,7,1,0.875
L-Serine,5.42932123358258,5.653826201655388,10.864764743334486,8,7,1,0.875
Citric acid,4.938813914188508,7.249930166236851,6.758448989764226,8,6,2,0.75
Oxalic acid,4.938813914188508,7.249930166236851,6.758448989764226,8,6,2,0.75
D-Maltose,4.664022722454848,0.18152723549857946,11.755774832254987,8,5,3,0.625
D-Xylose,4.664022722454848,0.18152723549857946,11.755774832254987,8,5,3,0.625
L-Cysteine,4.508941783421307,5.649558485549665,8.561580517623273,8,6,2,0.75
L-Asparagine,4.111189229980087,4.420196000955441,10.595612667629819,8,6,2,0.75
L-Alanine,3.7180165605131763,5.107104883881844,7.595344961995582,8,6,2,0.75
L-Methionine,3.6961333491787673,5.300050464951963,6.380571435176938,8,6,2,0.75
L-Leucine,3.5766030623620253,3.9244260628398697,5.975027640778841,8,5,3,0.625
Calcium release-activated calcium transport,2.8230284148536655,3.4548488945998166,3.4302345238558467,8,6,2,0.75
Glycine,2.7824611551656795,3.1860726988002552,7.775286760877441,8,6,2,0.75
Adenosine diphosphate ribose,2.61229691626772,1.1615620943807927,3.350103096326721,8,7,1,0.875
Adenosine triphosphate,2.4674690688079775,3.75255979923345,4.408121416878781,8,6,2,0.75
L-Glutamine,2.4364285671622015,4.303940369857555,10.117380835967369,8,4,4,0.5
L-Proline,2.2193654692195706,3.4814468553683264,6.5200567524526525,8,7,1,0.875
Tripeptides,1.8835857489242385,2.0666986792317887,2.3887043765974574,8,6,2,0.75
Dipeptides,1.8835857489242385,2.0666986792317887,2.3887043765974574,8,6,2,0.75
L-Phenylalanine,1.6773130510429812,0.6298049380025872,3.2396292875715824,8,5,3,0.625
Sodium_nucleoside symport,1.6244335098829483,4.005625400445542,6.473232522813725,3,2,1,0.6666666666666666
Acetate,1.5973119737170083,0.29610104655659253,4.796958035983024,8,4,4,0.5
Zinc,1.5524447208486305,2.432834111803084,8.757731811500083,8,5,3,0.625
