marker_set,cell_type,spearman_r,p_value,n_slides
B_plasma,B_plasma,0.9804511278195487,3.6893592442965844e-14,20
Absorptive,Absorptive,0.9293233082706768,3.2275217543825805e-09,20
Epithelial,Secretory,0.9082706766917292,3.118100742700066e-08,20
Absorptive,Microfold,0.8966101574464179,8.762246498904818e-08,20
Secretory,Secretory,0.8932330827067668,1.1553772694134449e-07,20
Epithelial,Transit_amplifying,0.8719889406905882,5.45887989185642e-07,20
B_cells,Mature_B,0.8691729323308269,6.569039927296348e-07,20
B_cells,B_plasma,0.8586466165413533,1.2663006456217196e-06,20
Secretory,Microfold,0.840760703194705,3.454705153377612e-06,20
B_cells,DC,0.8345864661654135,4.750605779025455e-06,20
B_cells,Immature_B,0.8300751879699247,5.947594428814402e-06,20
Secretory,Enteroendocrine,0.8225563909774435,8.529183271703499e-06,20
Secretory,Transit_amplifying,0.8192780375400344,9.929486648783555e-06,20
Epithelial,Microfold,0.8151001431331071,1.2000274513466172e-05,20
Epithelial,Epithelial_stem,0.8137866255184659,1.2724346579668754e-05,20
B_cells,Conventional_CD8,0.8120300751879698,1.3751698807413044e-05,20
B_cells,Cycling_T/NK,0.8065638735551136,1.742294561423418e-05,20
Secretory,Absorptive,0.7969924812030074,2.5917474294045437e-05,20
Pericyte,Vascular_endothelia,0.7954887218045112,2.7534156851806372e-05,20
Secretory,Epithelial_stem,0.7932133681317632,3.0146083511272468e-05,20
Pericyte,Myofibroblast,0.78796992481203,3.699406473493859e-05,20
Macrophage,Macrophage,0.7804511278195487,4.913952964223649e-05,20
Epithelial,Absorptive,0.77593984962406,5.796529340653612e-05,20
Epithelial,Enteroendocrine,0.7744360902255639,6.119579516446203e-05,20
Pericyte,Smooth_muscle,0.7699248120300751,7.183540419814863e-05,20
B_plasma,DC,0.7699248120300751,7.183540419814863e-05,20
B_plasma,Mature_B,0.7669172932330827,7.978155088069937e-05,20
Fibroblast,Fibroblast,0.7609022556390977,9.796553338830222e-05,20
B_cells,Conventional_CD4,0.7563909774436091,0.00011384195119063896,20
Macrophage,Lymphoid_stromal_cell,0.7548872180451127,0.00011960282700609442,20
Myofibroblast,Vascular_endothelia,0.7533834586466165,0.0001256121573080167,20
B_plasma,Immature_B,0.7518796992481201,0.00013187874499474226,20
Myofibroblast,Pericyte,0.7488721804511278,0.0001452201092012391,20
Fibroblast,Pericyte,0.7443609022556391,0.0001673956999851941,20
B_cells,Lymphoid_stromal_cell,0.7443609022556391,0.0001673956999851941,20
Endothelial,Lymphoid_stromal_cell,0.7413533834586465,0.00018373904000045947,20
B_cells,Monocyte,0.7308270676691728,0.0002521513415096557,20
Macrophage,B_plasma,0.7293233082706766,0.00026350691768615633,20
B_plasma,Conventional_CD4,0.7203007518796991,0.0003412328956726318,20
B_cells,NK,0.7136568430636743,0.0004102577522277593,20
B_cells,Unconventional_T/ILC,0.7030136176565194,0.0005455082233791376,20
B_cells,Treg,0.7022556390977444,0.0005564352866091828,20
B_cells,Macrophage,0.7007518796992479,0.0005786641020194404,20
Macrophage,Monocyte,0.6992481203007518,0.0006016416290038306,20
Endothelial,Macrophage,0.675187969924812,0.0010889426257988852,20
Absorptive,Melanocyte,0.6721804511278194,0.0011684302903722896,20
Fibroblast,Lymphoid_stromal_cell,0.6676691729323309,0.0012967923499898862,20
B_plasma,Conventional_CD8,0.6646616541353383,0.0013887947848759106,20
Macrophage,DC,0.6631578947368421,0.0014368148651074362,20
B_plasma,Cycling_T/NK,0.6518352937302552,0.00184519565955116,20
Endothelial,Pericyte,0.6511278195488721,0.0018736439667456602,20
Absorptive,Epithelial_stem,0.6392949239793941,0.0024067251134071285,20
Absorptive,Secretory,0.6390977443609022,0.0024165793968331313,20
B_plasma,Treg,0.6285714285714286,0.002993820807181272,20
B_plasma,Lymphoid_stromal_cell,0.6225563909774435,0.003372243843155669,20
Absorptive,Enteroendocrine,0.6195488721804511,0.003575852944413449,20
B_cells,Cycling_endothelia,0.5880582156954487,0.006390277209765126,20
Macrophage,Mature_B,0.5864661654135337,0.006570618371105351,20
Endothelial,Fibroblast,0.5864661654135337,0.006570618371105351,20
Absorptive,Transit_amplifying,0.5813259604603921,0.007181600427118868,20
Secretory,Salivary/Submucosal_glands,0.5712285134501173,0.00851738892791657,20
Macrophage,Immature_B,0.5624060150375939,0.009844300033055812,20
B_plasma,Cycling_endothelia,0.5517972533335308,0.011657438236141937,20
Endothelial,Monocyte,0.5383458646616541,0.014335462396793609,20
Myofibroblast,Myofibroblast,0.5142857142857143,0.020346128286980614,20
Pericyte,Pericyte,0.5067669172932331,0.022588172380591843,20
Pericyte,Megakaryocyte/platelet,0.5067669172932331,0.022588172380591843,20
Epithelial,Salivary/Submucosal_glands,0.5060751286268943,0.02280391992695117,20
B_plasma,NK,0.49546876365567194,0.02632101236857688,20
Macrophage,Conventional_CD8,0.4766917293233082,0.03358407951093335,20
Endothelial,B_plasma,0.46917293233082696,0.03689655918142919,20
Fibroblast,Macrophage,0.46917293233082696,0.03689655918142919,20
Macrophage,Fibroblast,0.4661654135338345,0.03829049887630505,20
Pericyte,Lymphatic_endothelia,0.4466165413533834,0.04837283310926691,20
Myofibroblast,Smooth_muscle,0.4466165413533834,0.04837283310926691,20
Absorptive,Smooth_muscle,0.44060150375939844,0.051851836932707014,20
B_plasma,Unconventional_T/ILC,0.4388980043932967,0.052871001976126056,20
Macrophage,Cycling_endothelia,0.4382846755049188,0.053241660222637516,20
B_plasma,Monocyte,0.431578947368421,0.05742465038435203,20
B_cells,Granulocyte,0.41804511278195483,0.06662156350962738,20
Pericyte,Glia,0.41654135338345866,0.0677080032438911,20
Pericyte,Intestinal_Cajal_cell,0.4060722588982266,0.07564417278796395,20
Endothelial,Vascular_endothelia,0.40451127819548865,0.07688442544807972,20
Pericyte,Melanocyte,0.39999999999999997,0.08055387210850923,20
Macrophage,Cycling_T/NK,0.3966977418913927,0.08332111248923478,20
Pericyte,Neuron,0.393984962406015,0.0856464817310337,20
