metabolite,cell_type,spearman_r,p_value,n_patients
Cholic acid,Microfold,0.9047619047619048,0.002008275505429469,8
Citric acid,Lymphoid_stromal_cell,0.9047619047619048,0.002008275505429469,8
Cholic acid,Absorptive,0.9047619047619048,0.002008275505429469,8
Bile acid,Microfold,0.8999999999999998,0.03738607346849874,5
Bile acid,Absorptive,0.8999999999999998,0.03738607346849874,5
Urea,Granulocyte,0.8857142857142858,0.01884548104956266,6
L-Histidine,Vascular_endothelia,0.8333333333333335,0.010175540123456752,8
Urea,Erythrocyte,0.8285714285714287,0.04156268221574335,6
Urea,Megakaryocyte/platelet,0.8285714285714287,0.04156268221574335,6
Citric acid,B_plasma,0.8095238095238096,0.014902667686230072,8
L-Alanine,Glia,0.8095238095238096,0.014902667686230072,8
L-Asparagine,Granulocyte,0.7857142857142858,0.020815127253525273,8
Citric acid,Unconventional_T/ILC,0.7784570702436183,0.022867333969736833,8
L-Serine,Lymphatic_endothelia,0.7619047619047621,0.028004939153071805,8
L-Asparagine,Glia,0.7619047619047621,0.028004939153071805,8
Citric acid,Macrophage,0.7619047619047621,0.028004939153071805,8
L-Cysteine,Glia,0.7619047619047621,0.028004939153071805,8
L-Serine,Granulocyte,0.7380952380952381,0.03655276105286081,8
Fatty acid,Pericyte,0.7380952380952381,0.03655276105286081,8
L-Asparagine,Neuron,0.7380952380952381,0.03655276105286081,8
L-Leucine,Lymphatic_endothelia,0.7142857142857144,0.046528232284167255,8
Citric acid,NK,0.7142857142857144,0.046528232284167255,8
Citric acid,DC,0.7142857142857144,0.046528232284167255,8
Cholesterol,Melanocyte,0.7142857142857144,0.046528232284167255,8
Citric acid,Cycling_T/NK,0.7075275528876865,0.0496282607348613,8
Bile acid,Melanocyte,0.7,0.1881204043741873,5
Bile acid,Megakaryocyte/platelet,0.7,0.1881204043741873,5
Cholesterol,Erythrocyte,0.6904761904761906,0.057990318164572716,8
L-Histidine,Granulocyte,0.6904761904761906,0.057990318164572716,8
Citric acid,Immature_B,0.6904761904761906,0.057990318164572716,8
Cholic acid,Epithelial_stem,0.6904761904761906,0.057990318164572716,8
Citric acid,Mature_B,0.6904761904761906,0.057990318164572716,8
Fatty acid,Glia,0.6904761904761906,0.057990318164572716,8
Citric acid,Monocyte,0.6904761904761906,0.057990318164572716,8
Cholic acid,Secretory,0.6666666666666669,0.07098765432098755,8
Cholesterol,Microfold,0.6666666666666669,0.07098765432098755,8
Cholesterol,Absorptive,0.6666666666666669,0.07098765432098755,8
Urea,Intestinal_Cajal_cell,0.6571428571428573,0.1561749271137024,6
Urea,Neuron,0.6571428571428573,0.1561749271137024,6
Cholic acid,Melanocyte,0.6428571428571429,0.08555889101267325,8
Fatty acid,Granulocyte,0.6428571428571429,0.08555889101267325,8
L-Asparagine,Smooth_muscle,0.6428571428571429,0.08555889101267325,8
L-Leucine,Pericyte,0.6428571428571429,0.08555889101267325,8
L-Histidine,Lymphatic_endothelia,0.6428571428571429,0.08555889101267325,8
L-Alanine,Neuron,0.6428571428571429,0.08555889101267325,8
