metabolite,cell_type,spearman_r,p_value,n_slides
Bile acid,Microfold,0.9340659340659341,1.0279787693084372e-06,14
Urea,Absorptive,0.9147058823529413,7.011802190203182e-07,16
Urea,Microfold,0.9139075321874164,7.468092298951483e-07,16
Bile acid,Absorptive,0.9120879120879121,5.502099746344892e-06,14
Cholic acid,Microfold,0.8734557323716945,2.20655359239529e-06,18
Cholic acid,Absorptive,0.8658410732714137,3.434510604967862e-06,18
Cholic acid,Epithelial_stem,0.8293573093559632,2.0847341827497425e-05,18
Cholic acid,Transit_amplifying,0.8117907745501074,4.304008420425394e-05,18
Urea,Enteroendocrine,0.8088235294117646,0.0001484755922323442,16
Cholic acid,Secretory,0.8059855521155831,5.3816356061133154e-05,18
Cholesterol,Microfold,0.7749066889330828,0.00015894489093309634,18
Cholesterol,Absorptive,0.7688338493292053,0.00019261872998026163,18
Urea,Epithelial_stem,0.7259458424088008,0.0014533335465374917,16
Bile acid,Enteroendocrine,0.7098901098901099,0.004450741418764228,14
beta-Dhydroxybutyrate,Enteroendocrine,0.7090909090909092,0.014552051953727713,11
Propionate,Enteroendocrine,0.7090909090909092,0.014552051953727713,11
beta-Dhydroxybutyrate,Transit_amplifying,0.7000000000000001,0.016470978836514428,11
Propionate,Transit_amplifying,0.7000000000000001,0.016470978836514428,11
Urea,Melanocyte,0.6882352941176471,0.003203908614395742,16
Urea,Salivary/Submucosal_glands,0.6800186564604889,0.003750280805650636,16
L-Histidine,Monocyte,0.6780185758513931,0.0019851971899574553,18
Cholesterol,Melanocyte,0.6656346749226005,0.002568327960293709,18
Propionate,Epithelial_stem,0.6636363636363638,0.0259841339187655,11
beta-Dhydroxybutyrate,Epithelial_stem,0.6636363636363638,0.0259841339187655,11
Urea,Neuron,0.6588235294117648,0.005511422336343683,16
Fatty acid,Glia,0.6573787409700722,0.0030302895427941692,18
Cholic acid,Enteroendocrine,0.6470588235294118,0.0037015338197611434,18
Bile acid,Lymphatic_endothelia,0.6351648351648352,0.014657881327289134,14
Bile acid,Megakaryocyte/platelet,0.621978021978022,0.017550315290540023,14
Urea,Transit_amplifying,0.6195733833347864,0.010475333773845385,16
Cholesterol,Epithelial_stem,0.6191273196586341,0.0061483000596542605,18
Bile acid,Epithelial_stem,0.6182622003061836,0.01843855859412632,14
beta-Dhydroxybutyrate,Microfold,0.6181818181818182,0.04264556980532674,11
Propionate,Microfold,0.6181818181818182,0.04264556980532674,11
Bile acid,Transit_amplifying,0.6175824175824175,0.01860467428070843,14
Bile acid,Secretory,0.6131868131868132,0.01970633192603883,14
Citric acid,Macrophage,0.6119711042311662,0.006950274712161287,18
Citric acid,Monocyte,0.6078431372549019,0.007450054518883102,18
Fatty acid,Myofibroblast,0.6057791537667698,0.0077106082493158725,18
Urea,Intestinal_Cajal_cell,0.6014979837101493,0.013707770746151125,16
Cholesterol,Enteroendocrine,0.5913312693498451,0.00974749319593869,18
beta-Dhydroxybutyrate,Intestinal_Cajal_cell,0.5909090909090909,0.055575604288774685,11
Propionate,Intestinal_Cajal_cell,0.5909090909090909,0.055575604288774685,11
L-Serine,B_plasma,0.5810113519091847,0.011450854006919304,18
beta-Dhydroxybutyrate,Absorptive,0.5727272727272729,0.06554305260101852,11
Propionate,Secretory,0.5727272727272729,0.06554305260101852,11
beta-Dhydroxybutyrate,Secretory,0.5727272727272729,0.06554305260101852,11
Propionate,Absorptive,0.5727272727272729,0.06554305260101852,11
Urea,Lymphatic_endothelia,0.5529411764705882,0.026314499870666506,16
Urea,Secretory,0.5529411764705882,0.026314499870666506,16
L-Serine,Monocyte,0.5500515995872033,0.01802759336113747,18
L-Histidine,B_plasma,0.5500515995872033,0.01802759336113747,18
Citric acid,Lymphoid_stromal_cell,0.5479876160990712,0.018554135699121704,18
Fatty acid,Pericyte,0.5459236326109391,0.01909272950987518,18
L-Histidine,Lymphoid_stromal_cell,0.5459236326109391,0.01909272950987518,18
Bile acid,Neuron,0.5428571428571429,0.04486396643924868,14
Bile acid,Melanocyte,0.5428571428571429,0.04486396643924868,14
Citric acid,B_plasma,0.5376676986584108,0.021371414657806467,18
L-Leucine,B_plasma,0.5314757481940144,0.02321633430784389,18
Bile acid,Intestinal_Cajal_cell,0.5289215393743901,0.05180838619323793,14
Cholesterol,Smooth_muscle,0.5252837977296182,0.02518359155961345,18
L-Histidine,Macrophage,0.5252837977296182,0.02518359155961345,18
Fatty acid,Vascular_endothelia,0.5128998968008256,0.029506553722099392,18
Urea,Glia,0.5088235294117647,0.04413521823498383,16
Urea,Megakaryocyte/platelet,0.5058823529411764,0.04558161612394021,16
Bile acid,Salivary/Submucosal_glands,0.5011086366687488,0.06794546417172613,14
Fatty acid,Neuron,0.4984520123839009,0.03525363586497097,18
Fatty acid,Lymphatic_endothelia,0.49638802889576883,0.03614032375695943,18
Cholesterol,Secretory,0.4943240454076367,0.03704404980744616,18
Cholesterol,Neuron,0.48813209494324045,0.03985953090099978,18
Cholesterol,Glia,0.48813209494324045,0.03985953090099978,18
Cholic acid,Melanocyte,0.4654282765737873,0.051601612000717,18
Bile acid,Smooth_muscle,0.46373626373626364,0.0948763315088997,14
beta-Dhydroxybutyrate,Erythrocyte,0.46363636363636374,0.15090149929248592,11
Propionate,Erythrocyte,0.46363636363636374,0.15090149929248592,11
Cholesterol,Transit_amplifying,0.4622553837247108,0.053430516438075455,18
Fatty acid,Smooth_muscle,0.4613003095975232,0.053990476377347364,18
L-Cysteine,B_plasma,0.45098039215686275,0.06032623578568477,18
Cholesterol,Myofibroblast,0.43859649122807015,0.06864406996213136,18
L-Asparagine,Monocyte,0.43653250773993807,0.07010903657780523,18
Citric acid,Fibroblast,0.4220846233230134,0.0810190486949893,18
Cholesterol,Intestinal_Cajal_cell,0.4139059824421687,0.08772005985043137,18
L-Asparagine,B_plasma,0.4117647058823529,0.08953914742899166,18
Bile acid,Myofibroblast,0.410989010989011,0.14433266812460488,14
L-Serine,Macrophage,0.4097007223942208,0.09131835313137278,18
L-Histidine,DC,0.40763673890608876,0.09312305169960107,18
Citric acid,Pericyte,0.4055727554179567,0.09495342479222924,18
L-Histidine,Vascular_endothelia,0.40350877192982454,0.09680965248246642,18
Urea,Myofibroblast,0.39999999999999997,0.12475042359840005,16
Urea,Smooth_muscle,0.39999999999999997,0.12475042359840005,16
Fatty acid,Intestinal_Cajal_cell,0.39108409869849026,0.10853991552552576,18
L-Cysteine,Monocyte,0.38906088751289986,0.11054194705770325,18
L-Leucine,Monocyte,0.3869969040247678,0.11261128878276387,18
Cholesterol,Lymphatic_endothelia,0.38080495356037153,0.11898433684768547,18
Fatty acid,Megakaryocyte/platelet,0.37254901960784315,0.12787268607330352,18
L-Histidine,Mature_B,0.37254901960784315,0.12787268607330352,18
Bile acid,Glia,0.37142857142857144,0.19102081204361632,14
L-Leucine,Fibroblast,0.3663570691434469,0.13483747906980886,18
beta-Dhydroxybutyrate,Megakaryocyte/platelet,0.36363636363636365,0.27163754099382253,11
Propionate,Megakaryocyte/platelet,0.36363636363636365,0.27163754099382253,11
L-Cysteine,Macrophage,0.3622291021671827,0.13962500641700296,18
L-Leucine,Lymphoid_stromal_cell,0.36016511867905054,0.14206248632367482,18
L-Serine,Lymphoid_stromal_cell,0.36016511867905054,0.14206248632367482,18
L-Histidine,Cycling_T/NK,0.35831717656123846,0.14426970637374775,18
Bile acid,Mesoderm,0.357799864870911,0.209100611731318,14
Propionate,Melanocyte,0.3545454545454546,0.2846927409558867,11
beta-Dhydroxybutyrate,Melanocyte,0.3545454545454546,0.2846927409558867,11
L-Alanine,B_plasma,0.347781217750258,0.15730765714242592,18
beta-Dhydroxybutyrate,B_plasma,0.3454545454545455,0.2980892209030385,11
Propionate,B_plasma,0.3454545454545455,0.2980892209030385,11
Cholesterol,Megakaryocyte/platelet,0.34365325077399383,0.1626286535167655,18
