metabolite,z_score_adjacent,fdr_adjacent,communication_score_adjacent,z_score_fibrotic,fdr_fibrotic,communication_score_fibrotic,fibrotic_minus_adjacent_z,fibrotic_minus_adjacent_score
Iron,21.695795231069564,9.338035380125647e-104,4773.557785383582,38.66327151135268,0.0,16058.909618488608,16.96747628028312,11285.351833105025
Fatty acid,24.91533863249107,2.740231987051944e-136,4111.786435651925,40.75379856287166,0.0,9488.82635281009,15.838459930380587,5377.039917158166
L-Leucine,14.84385498627021,1.5835612218108504e-49,2278.727106306471,28.648943232656983,9.684814653399715e-180,5967.96353812849,13.805088246386772,3689.236431822019
Choline,18.77864686297236,3.12705015064546e-78,2314.85759947721,31.51818425776944,3.4428387225270074e-217,6532.7605928253015,12.739537394797082,4217.9029933480915
Heme,18.971590633342416,8.324754933169502e-80,2389.4741284354104,31.635032674799486,9.180572730887246e-219,5782.649168757292,12.66344204145707,3393.175040321881
Zinc,27.771350788486284,6.115017139911024e-169,8601.111306310491,40.03471727049857,0.0,15210.65174762456,12.263366482012284,6609.5404413140695
5-Hydroxyomeprazole,22.55634086279099,5.712171057099643e-112,2442.0903972480023,34.441212126227356,5.846960280180956e-259,4001.747804501373,11.884871263436366,1559.6574072533708
Folic acid,15.925119893164458,9.95947446794951e-57,3122.04179942993,26.86719984836584,2.546758100086439e-158,6320.490101358659,10.94207995520138,3198.4483019287286
L-Glutamine,40.025834436984695,0.0,20490.87868618817,50.41054487710596,0.0,32415.732528843084,10.384710440121268,11924.853842654913
L-Serine,23.207474717651056,1.9681508396103436e-118,6523.110330456713,32.63056973153436,1.2268927521736979e-232,10839.873563304693,9.423095013883302,4316.763232847979
Acetate,9.828168547072961,1.2598010871697734e-22,778.9159813811538,18.857337276372952,6.275558698437196e-79,2003.070850440342,9.029168729299991,1224.154869059188
L-Arginine,15.197772363593893,8.231669062923469e-52,2485.0421821773766,23.552100838428885,3.819260014324452e-122,4945.796209513828,8.354328474834992,2460.7540273364516
L-Alanine,20.418822912410935,3.613951943418648e-92,5153.456662830635,28.699561173663316,2.397736001000636e-180,8414.867011038032,8.280738261252381,3261.410348207397
L-Cysteine,21.819466121105002,6.549939848690826e-105,4512.983540933144,29.747108621860264,1.246275245323916e-193,8871.306256724114,7.927642500755262,4358.3227157909705
Citric acid,7.737263046685485,1.3886852861087211e-14,226.44285291967913,15.434311015095021,1.9153716428833818e-53,573.8430929408978,7.697047968409536,347.4002400212187
Oxalic acid,7.737263046685485,1.3886852861087211e-14,226.44285291967913,15.434311015095021,1.9153716428833818e-53,573.8430929408978,7.697047968409536,347.4002400212187
L-Methionine,13.384050824227389,1.4717200376828136e-40,2257.0133692543723,20.87835824111864,2.2787140363961983e-96,4852.181504220439,7.494307416891251,2595.1681349660666
Cholesterol,26.745652276016372,8.323683202269481e-157,2993.7839303242404,33.60721002234722,1.1572413384762113e-246,3922.847469528885,6.8615577463308455,929.0635392046447
L-Phenylalanine,6.687395683831888,2.992087783205697e-11,706.0820833970572,13.345612306583183,2.2090647407388004e-40,2058.5393098741642,6.6582166227512944,1352.457226477107
Estradiol,21.350464024112792,1.5443451568640867e-100,2998.6827723311285,27.895002175380537,1.703431389511273e-170,4309.923526469094,6.544538151267744,1311.2407541379657
L-Lysine,6.4660913213245745,1.2930468984931322e-10,457.9419691814125,12.68521042716004,1.2153221998957396e-36,1327.0564288188214,6.219119105835466,869.1144596374088
L-Ornithine,6.4660913213245745,1.2930468984931322e-10,457.9419691814125,12.68521042716004,1.2153221998957396e-36,1327.0564288188214,6.219119105835466,869.1144596374088
L-Proline,13.753279504893884,9.734442162253583e-43,2052.892422022656,19.857402736438463,2.4471690848291644e-87,3198.741284093988,6.104123231544579,1145.848862071332
L-Asparagine,21.953276692355765,3.6260592867817193e-106,3395.892297784987,27.86816289899429,3.4233960056678384e-170,5545.339574557209,5.914886206638524,2149.447276772222
L-Histidine,19.11562381330758,5.463302217331331e-81,3900.468704985313,24.45081737458902,1.734648620095546e-131,6348.490950209564,5.335193561281439,2448.0222452242515
Chloride ion,16.251401351927285,5.239597268083189e-59,2063.46690351913,21.453503120412368,1.1758376352515788e-101,3728.8284165239356,5.2021017684850825,1665.3615130048056
L-Glutamate,17.635933904683206,3.524086489945836e-69,3182.383948710242,22.81153648959816,1.0930611964655553e-114,5573.814453123019,5.175602584914955,2391.4305044127773
Adenosine triphosphate,5.59363914253922,2.30911131706881e-08,414.80669917849866,10.643390145981716,2.90422808719514e-26,1179.9521208943634,5.049751003442496,765.1454217158647
Eicosanoid,1.4640926573801585,0.10172508151080327,42.848913921563096,6.330941891675482,2.3584486886107204e-10,235.38253653143653,4.866849234295324,192.53362260987342
Prostaglandins,1.4640926573801585,0.10172508151080327,42.848913921563096,6.330941891675482,2.3584486886107204e-10,235.38253653143653,4.866849234295324,192.53362260987342
L-Lactate,15.154040238204605,1.5703778176855984e-51,3311.1596026599586,19.760671174454195,1.6311201017083344e-86,3699.85223957579,4.606630936249591,388.6926369158314
8-Hydroxycarvedilol,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
Estriol,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
N-Desmethyleletriptan,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
O-Deethylated candesartan,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
Glycerol,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
E-3179,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
4-Hydroxycyclophosphamide,3.074894527441042,0.001736054718432717,89.99149764193893,7.618027073551322,3.197050673143421e-14,283.23598077806867,4.5431325461102805,193.24448313612973
Cobalamin,2.922230618138257,0.00278027285247153,144.74335758230552,7.367256560325895,2.136682808404138e-13,774.1114244841345,4.445025942187638,629.368066901829
Arachidonic acid,2.13641421407114,0.024829098459290155,126.395068451682,6.245959133129301,4.0397609548280786e-10,538.2428194022871,4.109544919058161,411.8477509506051
Hydrogen carbonate,11.168938056046859,9.469403723694395e-29,702.570427140703,15.21269254795911,5.691351102710083e-52,1067.628107894686,4.043754491912251,365.05768075398305
Manganese,1.3935924270891498,0.11246141863527065,81.81689305315419,5.273618679419311,1.1662518068547621e-07,428.1981118996922,3.880026252330161,346.381218846538
L-Threonine,1.7495058342182246,0.060152715902093916,121.65002861750203,5.5689526591195575,2.2530852336963266e-08,467.83301757203793,3.819446824901333,346.1829889545359
Glycine,16.255531165743218,5.009527025249191e-59,1954.9289203723506,20.018956649010406,9.93080178114648e-89,3205.1268303686975,3.763425483267188,1250.1979099963469
2-Hydroxychlorpropamide,20.481779864851006,1.0243950248708413e-92,2886.4592821823594,24.100771981145947,8.089059012156853e-128,3465.7567114094186,3.6189921162949403,579.2974292270592
N-Desmethyltamoxifen,20.969201731831447,4.3670155110624756e-97,1623.0654302044884,24.583919609426786,6.828800756774287e-133,1962.1552160769238,3.6147178775953392,339.0897858724354
N-desmethylimatinib,20.969201731831447,4.3670155110624756e-97,1623.0654302044884,24.583919609426786,6.828800756774287e-133,1962.1552160769238,3.6147178775953392,339.0897858724354
Cortisol,20.969201731831447,4.3670155110624756e-97,1623.0654302044884,24.583919609426786,6.828800756774287e-133,1962.1552160769238,3.6147178775953392,339.0897858724354
Hydroxylansoprazole,20.969201731831447,4.3670155110624756e-97,1623.0654302044884,24.583919609426786,6.828800756774287e-133,1962.1552160769238,3.6147178775953392,339.0897858724354
Taurocholic acid,34.25516061677797,2.4665807631889363e-256,10407.41276960972,37.59697696050533,2.5410439927534957e-308,12852.639203077273,3.341816343727359,2445.226433467553
L-Isoleucine,2.7633954105047995,0.004509466837005266,170.3648254931273,5.919006655229821,2.895812822695423e-09,524.0650039867186,3.1556112447250215,353.70017849359124
L-Valine,2.7633954105047995,0.004509466837005266,170.3648254931273,5.919006655229821,2.895812822695423e-09,524.0650039867186,3.1556112447250215,353.70017849359124
Testosterone,14.569366919643539,8.965000959095857e-48,1929.5231293202341,17.59943621359603,5.705909395350753e-69,2450.91829375456,3.03006929395249,521.395164434326
Calcium release-activated calcium transport,4.858484055123009,1.1108779774965378e-06,308.55168406260464,7.8806765092380315,4.404128551081974e-15,643.6763676110653,3.0221924541150225,335.12468354846067
N-Desmethylcitalopram,13.275702380685402,6.1763281995586884e-40,778.966146367675,16.266761818072414,3.6582385740775027e-59,1052.6207394418852,2.991059437387012,273.6545930742102
Sodium,49.970825365181774,0.0,36552.93891383124,52.91161148462628,0.0,43069.640360259276,2.9407861194445033,6516.701446428036
L-Cystine,13.233994217798294,1.0580064710610241e-39,1139.0111123909292,16.150173504945442,2.3894213032853133e-58,2282.8349725285725,2.9161792871471484,1143.8238601376434
Amiloride-sensitive sodium transport,3.0950599033816935,0.001713830671723517,158.66490326568294,5.99140026834775,1.9085582229602435e-09,413.89439606948514,2.8963403649660564,255.2294928038022
Nickel,1.6492320654283223,0.07183094579581097,48.26730224484056,4.3620788393939876,1.0618610031775185e-05,162.18079384313074,2.712846773965665,113.9134915982902
Barium,1.6492320654283223,0.07183094579581097,48.26730224484056,4.3620788393939876,1.0618610031775185e-05,162.18079384313074,2.712846773965665,113.9134915982902
Chloride,3.3979023749704367,0.0006011231073444797,214.8438920298215,6.02026813697837,1.6114511714582103e-09,642.3215054025657,2.622365762007933,427.47761337274414
Progesterone,3.2222999759343094,0.0011165788209351868,204.59719685681887,5.826598936073596,5.015092077208102e-09,502.1350162429449,2.6042989601392867,297.53781938612605
Pyruvate,15.752068728590698,1.5274133832406625e-55,3759.6415399659118,18.245394053953063,5.27752643091014e-74,3841.5885668818164,2.493325325362365,81.94702691590464
Copper,7.4785637932292905,1.0143795396550293e-13,597.7618321715709,9.951186412703215,3.60137148491799e-23,975.9183100908922,2.472622619473925,378.15647791932133
Sodium_hydrogen exchange,1.46057614120102,0.10174009260575438,66.82755583086413,3.868817298265326,8.807603052985106e-05,232.04950974116963,2.408241157064306,165.2219539103055
L-Tyrosine,1.8575202533824533,0.047759542818417454,128.26989758908488,4.090484498251475,3.5205348714106086e-05,378.08326440863,2.2329642448690215,249.8133668195451
Tripeptides,0.880330869142535,0.2509046025493192,39.894358187413985,2.9570250305898647,0.002357605471271501,184.06645898165945,2.0766941614473295,144.17210079424547
Dipeptides,0.880330869142535,0.2509046025493192,39.894358187413985,2.9570250305898647,0.002357605471271501,184.06645898165945,2.0766941614473295,144.17210079424547
4'-Hydroxydiclofenac,3.939376393294168,7.352431046101266e-05,250.12735420395356,5.928920502839617,2.7733099767539e-09,510.95306638742295,1.9895441095454487,260.82571218346936
Nucleobases,1.2981890469239283,0.1327596021878547,37.99349067503444,3.179801368304791,0.0011603113186595625,118.2240691107705,1.8816123213808627,80.23057843573606
Magnesium,3.007525944811171,0.002138754379090959,181.8588143577702,4.835945831673332,1.1274377237203695e-06,390.9282150354603,1.8284198868621608,209.0694006776901
Long-chain fatty acid,12.656086301469745,1.927865054268067e-36,879.1882353924457,14.225980746389858,1.1699743929368479e-45,1139.5289077897858,1.5698944449201129,260.3406723973401
all-trans-Retinoic acid,2.3239995891187193,0.01552539810542353,104.61625855752962,3.8865750577256715,8.250789861649007e-05,229.12233211591965,1.5625754686069522,124.50607355839003
Glutathione,10.509900197896622,1.2173605170264367e-25,1183.9452832227935,12.064545746009955,2.6796477818895216e-33,1635.718240703929,1.5546455481133332,451.77295748113556
Cadmium,0.5864154648424003,0.3627735317407865,25.225072456186,2.120347889885241,0.024551669360413256,122.71727715963331,1.5339324250428406,97.49220470344731
Myristic acid,0.4192103583067874,0.4190042498736524,18.374644933938356,1.8833076049840853,0.04281627315203519,107.4098212873489,1.464097246677298,89.03517635341055
Cobalt,1.645906053405978,0.07184383378260999,75.5090626258993,3.107682017826777,0.0014735679738835748,188.90758817816626,1.461775964420799,113.39852555226696
Adenosine diphosphate ribose,0.09000649052406169,0.49392027750420037,2.6341777929196315,1.548843813789371,0.08483266895059052,57.585552326761686,1.4588373232653093,54.951374533842056
Ketone bodies,4.662654030868458,2.8570327771290744e-06,316.9740987679421,6.0594412895730425,1.2752912143168036e-09,487.6959291296181,1.3967872587045846,170.72183036167598
alpha-Ketoisovaleric acid,4.662654030868458,2.8570327771290744e-06,316.9740987679421,6.0594412895730425,1.2752912143168036e-09,487.6959291296181,1.3967872587045846,170.72183036167598
D-Lactate,4.662654030868458,2.8570327771290744e-06,316.9740987679421,6.0594412895730425,1.2752912143168036e-09,487.6959291296181,1.3967872587045846,170.72183036167598
Kynurenine,2.280784780171893,0.017280907994923093,106.7550366165854,3.604072573372385,0.0002484957479581943,220.64539841418244,1.323287793200492,113.89036179759704
Adenine,3.868222511667435,9.78529999850628e-05,274.14108613157543,5.137362347025827,2.409390096671576e-07,585.415760614581,1.2691398353583923,311.2746744830056
Arachidic acid,0.20164330697693758,0.4801117637149919,5.901400201661318,1.4346648531386945,0.1017252666231137,53.340412529819616,1.2330215461617569,47.4390123281583
Pentadecanoic acid,0.20164330697693758,0.4801117637149919,5.901400201661318,1.4346648531386945,0.1017252666231137,53.340412529819616,1.2330215461617569,47.4390123281583
Heptadecanoic acid,0.20164330697693758,0.4801117637149919,5.901400201661318,1.4346648531386945,0.1017252666231137,53.340412529819616,1.2330215461617569,47.4390123281583
Sodium_calcium_potassium exchange,1.4116825033293476,0.11012060955568576,65.50317096539982,2.356853845884294,0.013409776971160714,139.5901565678734,0.9451713425549462,74.08698560247359
Palmitic acid,0.5031304157521986,0.39062493539446935,22.05299215947774,1.3889632305234398,0.10937757708211437,79.21610467159037,0.8858328147712412,57.16311251211263
Stearic acid,0.5031304157521986,0.39062493539446935,22.05299215947774,1.3889632305234398,0.10937757708211437,79.21610467159037,0.8858328147712412,57.16311251211263
Folinic acid,9.276212952290994,2.528775551550364e-20,720.3659639957532,10.07874513535213,1.0051301403168234e-23,954.9783588013102,0.8025321830611354,234.61239480555696
Nucleoside,0.06668814044511982,0.49392027750420037,1.9517305650827281,0.8471155749459055,0.2434662170981963,31.495505120373693,0.7804274345007857,29.543774555290966
Cyclic AMP,7.201163818554439,7.960102276872398e-13,750.9066753734787,7.953950589013274,2.4752245831082153e-15,748.7104535742616,0.7527867704588349,-2.196221799217142
Vitamin D3,11.452329148099949,3.862870741335539e-30,639.3708661955142,12.107990048419689,1.6044922138783748e-33,858.839872229713,0.6556609003197398,219.46900603419886
Adenosylcobalamin,22.147365328494836,5.193424147579291e-108,2294.052208834859,22.788260253465488,1.807071321119297e-114,2732.420022426985,0.6408949249706524,438.3678135921259
Chloride_bicarbonate anion exchange,3.000248860698158,0.002174177869828574,154.75547628009934,3.6337016898625754,0.00022329543649757843,232.3327078521142,0.6334528291644173,77.57723157201485
Ursocholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Sulfolithocholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Varanic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Glycochenodeoxycholate-3-sulfate,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
3b-Hydroxy-5-cholenoic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
"3alpha,7alpha-Dihydroxycoprostanic acid",5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Trihydroxycoprostanoic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Chenodeoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Hyodeoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Lithocholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Isoursodeoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Coprocholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Chenodeoxycholic acid 3-sulfate,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Ursodeoxycholic acid 3-sulfate,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Ursodeoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
Deoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
3-Sulfodeoxycholic acid,5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
"1b,3a,12a-Trihydroxy-5b-cholanoic acid",5.727069181978515,1.071407258755709e-08,374.0676454975177,6.352181422141649,2.093068187512728e-10,586.9668312912718,0.6251122401631335,212.8991857937541
L-Homoserine,0.6027052385000086,0.35784313922685107,17.6390918664763,1.2149865726747777,0.14522185847457106,45.17283940070084,0.6122813341747692,27.53374753422454
Tetracosanoic acid,0.2131939460792147,0.4801117637149919,6.239447345151637,0.808246622677618,0.25256617009967935,30.050369035763772,0.5950526765984033,23.810921690612133
Palmitoleic acid,0.2131939460792147,0.4801117637149919,6.239447345151637,0.808246622677618,0.25256617009967935,30.050369035763772,0.5950526765984033,23.810921690612133
Elaidic acid,0.2131939460792147,0.4801117637149919,6.239447345151637,0.808246622677618,0.25256617009967935,30.050369035763772,0.5950526765984033,23.810921690612133
Biotin,0.31422341746089427,0.4649254096357651,9.196229554906662,0.7751116536592583,0.2612309258294467,28.818420742937477,0.460888236198364,19.622191188030815
Thiamine,1.4137123324586112,0.11012060955568576,81.43639816057886,1.864876973625369,0.04433755169259394,133.48327981262753,0.4511646411667578,52.04688165204867
Riboflavin,4.090032779572251,3.914430302440235e-05,247.7956609459114,4.522721179014027,5.1525894345499895e-06,341.6141876131931,0.4326883994417763,93.8185266672817
Myoinositol,1.2059267347246927,0.1547631449829639,52.713285734172,1.5913825193069258,0.07843820619646115,91.8268452595214,0.38545578458223306,39.11355952534941
O-Desmethylverapamil (D-702),38.42985977125513,0.0,10176.971628948277,38.78010407731661,0.0,10666.949237632722,0.3502443060614766,489.97760868444493
ADP,0.5083348538712649,0.39062493539446935,21.817794508695854,0.769395070162992,0.26176969048773907,41.992144506889446,0.26106021629172715,20.17434999819359
Leukotriene C4,1.0162917563728642,0.2076085160732958,29.743334732610336,1.2431634879975901,0.13923889631267697,46.22044873179199,0.22687173162472596,16.477113999181654
D-Aspartate,0.2895876236645874,0.4711312289726386,8.47522531897514,0.509133576709447,0.3539806707797374,18.92943495134125,0.21954595304485963,10.45420963236611
Malic acid,0.2895876236645874,0.4711312289726386,8.47522531897514,0.509133576709447,0.3539806707797374,18.92943495134125,0.21954595304485963,10.45420963236611
L-Aspartate,0.5298709561227208,0.38556737539304403,22.615141967847165,0.7072231287209576,0.280997976734274,38.54596598324747,0.17735217259823677,15.930824015400304
L-Tryptophan,1.114230073483983,0.1789968353989686,61.07284982780836,1.2628029354406352,0.1354200683550476,87.59175772782066,0.1485728619566522,26.5189079000123
Neurotransmitter,0.0599517672832778,0.49392027750420037,1.7545802875369074,0.18005943392638837,0.4784374254350752,9.696553899306778,0.12010766664311057,7.941973611769871
