analysis_layer,feature,comparison,disease_control_mean,comparison_mean,difference_vs_disease_control,n_disease_control_slides,n_comparison_slides
spatial_metabolism_score,bile_acid_transport,Adjacent_minus_DiseaseControl,0.5721486714426919,0.29295099221068954,-0.27919767923200234,2,8
spatial_metabolism_score,bile_acid_transport,Fibrotic_minus_DiseaseControl,0.5721486714426919,-0.26181286190880654,-0.8339615333514985,2,10
spatial_metabolism_score,epithelial_repair,Adjacent_minus_DiseaseControl,-0.00038175333726875316,0.2796209605469974,0.2800027138842662,2,8
spatial_metabolism_score,epithelial_repair,Fibrotic_minus_DiseaseControl,-0.00038175333726875316,-0.18515655951226995,-0.1847748061750012,2,10
spatial_metabolism_score,fatty_acid_metabolism,Adjacent_minus_DiseaseControl,0.25093736001135925,0.22118620928005628,-0.029751150731302967,2,8
spatial_metabolism_score,fatty_acid_metabolism,Fibrotic_minus_DiseaseControl,0.25093736001135925,-0.1358094394308519,-0.38674679944221113,2,10
spatial_metabolism_score,ecm_remodeling,Adjacent_minus_DiseaseControl,-0.2619701448598364,-0.12733036554263225,0.13463977931720414,2,8
spatial_metabolism_score,ecm_remodeling,Fibrotic_minus_DiseaseControl,-0.2619701448598364,0.15205944328419102,0.4140295881440274,2,10
spatial_metabolism_score,inflammation,Adjacent_minus_DiseaseControl,-0.3548590372800901,-0.11628412183914856,0.23857491544094156,2,8
spatial_metabolism_score,inflammation,Fibrotic_minus_DiseaseControl,-0.3548590372800901,0.21294757361903544,0.5678066108991255,2,10
spatial_deconvolution,Absorptive,Adjacent_minus_DiseaseControl,0.25698731424370885,0.13642069133748339,-0.12056662290622547,2,8
spatial_deconvolution,Absorptive,Fibrotic_minus_DiseaseControl,0.25698731424370885,0.07263020249785741,-0.18435711174585145,2,10
spatial_deconvolution,Microfold,Adjacent_minus_DiseaseControl,0.041477254370098096,0.02690459610539711,-0.014572658264700986,2,8
spatial_deconvolution,Microfold,Fibrotic_minus_DiseaseControl,0.041477254370098096,0.014183023687056193,-0.027294230683041903,2,10
spatial_deconvolution,Secretory,Adjacent_minus_DiseaseControl,0.025376049573867798,0.06779610739269498,0.042420057818827184,2,8
spatial_deconvolution,Secretory,Fibrotic_minus_DiseaseControl,0.025376049573867798,0.034983172188874,0.009607122615006201,2,10
spatial_deconvolution,B_plasma,Adjacent_minus_DiseaseControl,0.0029144489277538503,0.1049700612067907,0.10205561227903685,2,8
spatial_deconvolution,B_plasma,Fibrotic_minus_DiseaseControl,0.0029144489277538503,0.3003934171118572,0.29747896818410335,2,10
spatial_deconvolution,Macrophage,Adjacent_minus_DiseaseControl,0.00633876809378805,0.01865017734253331,0.012311409248745261,2,8
spatial_deconvolution,Macrophage,Fibrotic_minus_DiseaseControl,0.00633876809378805,0.026924205702105703,0.02058543760831765,2,10
spatial_deconvolution,Fibroblast,Adjacent_minus_DiseaseControl,0.030536017631883003,0.05346923474723749,0.02293321711535449,2,8
spatial_deconvolution,Fibroblast,Fibrotic_minus_DiseaseControl,0.030536017631883003,0.050154558023542226,0.019618540391659223,2,10
spatial_deconvolution,Myofibroblast,Adjacent_minus_DiseaseControl,0.193505746449807,0.15264652347547422,-0.04085922297433278,2,8
spatial_deconvolution,Myofibroblast,Fibrotic_minus_DiseaseControl,0.193505746449807,0.10208525924317438,-0.09142048720663262,2,10
