file,suffix,size_mb
Cleaned_raw_annotated_object_LK.v2.h5ad,.v2.h5ad,6988.202
V10A14_143_A.tar.gz,.tar.gz,40.684
V10A14_143_B.tar.gz,.tar.gz,29.294
V10A14_143_C.tar.gz,.tar.gz,25.531
V10A14_143_D.tar.gz,.tar.gz,54.552
V10S15-054_A.tar.gz,.tar.gz,40.344
V10S15-054_B.tar.gz,.tar.gz,21.604
V10S15-054_C.tar.gz,.tar.gz,24.657
V10S15-054_D.tar.gz,.tar.gz,32.7
V10S15-055_A.tar.gz,.tar.gz,34.938
V10S15-055_B.tar.gz,.tar.gz,13.73
V10S15-055_C.tar.gz,.tar.gz,17.729
V10S15-055_D.tar.gz,.tar.gz,29.133
V11Y24-010_A.tar.gz,.tar.gz,27.889
V11Y24-010_B.tar.gz,.tar.gz,30.803
V11Y24-010_C.tar.gz,.tar.gz,27.891
V11Y24-010_D.tar.gz,.tar.gz,32.851
V11Y24-011_A.tar.gz,.tar.gz,29.453
V11Y24-011_B.tar.gz,.tar.gz,24.172
V11Y24-011_C.tar.gz,.tar.gz,18.138
V11Y24-011_D.tar.gz,.tar.gz,34.93
anndata.h5ad,.h5ad,2097.09
sample_metadata.csv,.csv,0.003
spatial_transcriptome_slide_metadata.csv,.csv,0.002
