file,obs_column
anndata.h5ad,sample
Cleaned_raw_annotated_object_LK.v2.h5ad,total_counts
Cleaned_raw_annotated_object_LK.v2.h5ad,total_counts_mt
Cleaned_raw_annotated_object_LK.v2.h5ad,pct_counts_mt
Cleaned_raw_annotated_object_LK.v2.h5ad,doublet_score
Cleaned_raw_annotated_object_LK.v2.h5ad,biosample_id
Cleaned_raw_annotated_object_LK.v2.h5ad,chemistry
Cleaned_raw_annotated_object_LK.v2.h5ad,donor_id
Cleaned_raw_annotated_object_LK.v2.h5ad,status
Cleaned_raw_annotated_object_LK.v2.h5ad,fraction
Cleaned_raw_annotated_object_LK.v2.h5ad,tissue
Cleaned_raw_annotated_object_LK.v2.h5ad,procedure
Cleaned_raw_annotated_object_LK.v2.h5ad,annotation
Cleaned_raw_annotated_object_LK.v2.h5ad,annotation2v2
Cleaned_raw_annotated_object_LK.v2.h5ad,sex
Cleaned_raw_annotated_object_LK.v2.h5ad,species
Cleaned_raw_annotated_object_LK.v2.h5ad,species__ontology_label
Cleaned_raw_annotated_object_LK.v2.h5ad,library_preparation_protocol
Cleaned_raw_annotated_object_LK.v2.h5ad,library_preparation_protocol__ontology_label
Cleaned_raw_annotated_object_LK.v2.h5ad,organ
Cleaned_raw_annotated_object_LK.v2.h5ad,organ__ontology_label
Cleaned_raw_annotated_object_LK.v2.h5ad,disease
Cleaned_raw_annotated_object_LK.v2.h5ad,disease__ontology_label
