archive,archive_slide_id,normalized_slide_id,n_files,has_matrix,has_barcodes,has_genes,has_positions,has_scalefactors,has_hires_image,has_lowres_image
V10A14_143_A.tar.gz,V10A14_143_A,V10A14_143_A,9,True,True,True,True,True,True,True
V10A14_143_B.tar.gz,V10A14_143_B,V10A14_143_B,9,True,True,True,True,True,True,True
V10A14_143_C.tar.gz,V10A14_143_C,V10A14_143_C,9,True,True,True,True,True,True,True
V10A14_143_D.tar.gz,V10A14_143_D,V10A14_143_D,9,True,True,True,True,True,True,True
V10S15-054_A.tar.gz,V10S15-054_A,V10S15_054_A,9,True,True,True,True,True,True,True
V10S15-054_B.tar.gz,V10S15-054_B,V10S15_054_B,9,True,True,True,True,True,True,True
V10S15-054_C.tar.gz,V10S15-054_C,V10S15_054_C,9,True,True,True,True,True,True,True
V10S15-054_D.tar.gz,V10S15-054_D,V10S15_054_D,9,True,True,True,True,True,True,True
V10S15-055_A.tar.gz,V10S15-055_A,V10S15_055_A,9,True,True,True,True,True,True,True
V10S15-055_B.tar.gz,V10S15-055_B,V10S15_055_B,9,True,True,True,True,True,True,True
V10S15-055_C.tar.gz,V10S15-055_C,V10S15_055_C,9,True,True,True,True,True,True,True
V10S15-055_D.tar.gz,V10S15-055_D,V10S15_055_D,9,True,True,True,True,True,True,True
V11Y24-010_A.tar.gz,V11Y24-010_A,V11Y24_010_A,9,True,True,True,True,True,True,True
V11Y24-010_B.tar.gz,V11Y24-010_B,V11Y24_010_B,9,True,True,True,True,True,True,True
V11Y24-010_C.tar.gz,V11Y24-010_C,V11Y24_010_C,9,True,True,True,True,True,True,True
V11Y24-010_D.tar.gz,V11Y24-010_D,V11Y24_010_D,9,True,True,True,True,True,True,True
V11Y24-011_A.tar.gz,V11Y24-011_A,V11Y24_011_A,9,True,True,True,True,True,True,True
V11Y24-011_B.tar.gz,V11Y24-011_B,V11Y24_011_B,9,True,True,True,True,True,True,True
V11Y24-011_C.tar.gz,V11Y24-011_C,V11Y24_011_C,9,True,True,True,True,True,True,True
V11Y24-011_D.tar.gz,V11Y24-011_D,V11Y24_011_D,9,True,True,True,True,True,True,True
