analysis_layer,feature_class,feature,region,gene,n_patients,mean_difference,median_difference,std_difference,bootstrap_ci_low,bootstrap_ci_high,cohens_dz,positive_patient_fraction,paired_t_p_value,wilcoxon_p_value,paired_t_fdr,wilcoxon_fdr,direction,priority
harreman_metabolite_z,metabolite,Citric acid,,,8,4.938813914188508,7.249930166236851,6.758448989764226,0.4847681404742301,9.134936107942044,0.7307614397428193,0.75,0.07757031178896094,0.078125,0.5970429408411855,0.7998511904761905,fibrotic_higher,True
harreman_metabolite_z,metabolite,L-Histidine,,,8,6.852926850952151,8.48591640829085,10.475941415492713,-0.6214614040859955,12.75789284773363,0.6541585695408204,0.875,0.10672952441149917,0.1484375,0.5994015254760326,0.7998511904761905,fibrotic_higher,True
harreman_metabolite_z,metabolite,Cholic acid,,,8,-6.558298089141241,-0.897255978761379,10.793736751143912,-13.87725638802798,-0.08320743089861694,-0.6076021900799273,0.375,0.12938816392213676,0.3125,0.5994015254760326,0.7998511904761905,adjacent_higher,True
harreman_metabolite_z,metabolite,Urea,,,6,-56.8719262307685,-23.404153009103574,89.0522566105946,-129.01913450827388,-2.152111639649435,-0.6386354304243697,0.3333333333333333,0.17850921584553148,0.15625,0.5994015254760326,0.7998511904761905,adjacent_higher,True
harreman_metabolite_z,metabolite,L-Cysteine,,,8,4.508941783421307,5.649558485549665,8.561580517623273,-1.030443049926641,10.155194151913566,0.5266482951529848,0.75,0.17994603459371547,0.1953125,0.5994015254760326,0.7998511904761905,fibrotic_higher,True
harreman_metabolite_z,metabolite,L-Serine,,,8,5.429321233582579,5.653826201655388,10.864764743334486,-1.9413625448929421,12.121468447590255,0.4997182508635042,0.875,0.2004247354927472,0.109375,0.5994015254760326,0.7998511904761905,fibrotic_higher,True
harreman_metabolite_z,metabolite,Bile acid,,,5,-6.989169946064559,-0.4457176449135418,19.03996450592473,-21.460029689394553,7.481689797265436,-0.3670789377726894,0.4,0.4578526746207434,0.625,0.680419947005827,0.9002246732026143,adjacent_higher,True
region_transporter_expression,region_transporter_gene,stromal_fibrotic_region::SLC38A2,stromal_fibrotic_region,SLC38A2,8,0.10629339323431092,0.0957550339478907,0.11658497443587089,0.032945417089563354,0.1814999892534574,0.9117246347450976,0.875,0.03653899873154282,0.0390625,0.4211480437622236,0.525,fibrotic_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::SLC10A2,epithelial_bile_region,SLC10A2,8,-0.5071455091774776,-0.164678651650092,0.652726173415242,-0.9501849727115194,-0.1158911358281182,-0.7769651805502964,0.25,0.06395819597476123,0.1484375,0.4211480437622236,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,stromal_fibrotic_region::SLC15A3,stromal_fibrotic_region,SLC15A3,8,0.06305128873613913,0.0657526128072903,0.08127672201319,0.01369859789016733,0.11623552825135142,0.7757607242810167,0.625,0.06428064295193944,0.109375,0.4211480437622236,0.525,fibrotic_higher,True
region_transporter_expression,region_transporter_gene,epithelial_absorptive_region::SLC10A2,epithelial_absorptive_region,SLC10A2,8,-0.4908627619734724,-0.14841182032118955,0.6354254309530992,-0.9258273109174892,-0.11499797760188113,-0.7724946753188778,0.25,0.06516325879941738,0.1484375,0.4211480437622236,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,stromal_fibrotic_region::SLCO2B1,stromal_fibrotic_region,SLCO2B1,8,0.06343478273188943,0.10641733022062795,0.1259767310087477,-0.023606330208949197,0.13534967100031428,0.5035436482907671,0.75,0.1973935929775536,0.3125,0.4601345946271741,0.5357142857142857,fibrotic_higher,True
region_transporter_expression,region_transporter_gene,epithelial_absorptive_region::SLC51B,epithelial_absorptive_region,SLC51B,8,-0.23203761167715192,-0.29632351388156314,0.49362538916188997,-0.5333510632195139,0.0929296885413071,-0.4700682273882241,0.375,0.2253551466383274,0.25,0.4601345946271741,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::ABCB1,epithelial_bile_region,ABCB1,8,-0.2108020226790236,-0.01883662866852725,0.45461384634611285,-0.5232385022755721,0.06991657305371647,-0.46369468148256293,0.5,0.23105677109445452,0.546875,0.4601345946271741,0.6402439024390244,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::SLC51B,epithelial_bile_region,SLC51B,8,-0.23641773202483016,-0.3153147254727486,0.5202606639540832,-0.555876911676061,0.1105251277053583,-0.45442169359491635,0.25,0.23957588339335303,0.3125,0.4601345946271741,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::SLC5A1,epithelial_bile_region,SLC5A1,8,-0.6336003657322984,-0.3002013816172924,1.4219831880502454,-1.5710425323662989,0.26801933551400997,-0.44557514537219006,0.375,0.24795454323998561,0.3125,0.4601345946271741,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_absorptive_region::SLC5A1,epithelial_absorptive_region,SLC5A1,8,-0.6235317678628995,-0.28617230110750647,1.4087208294423363,-1.5529469808053802,0.25580846996768397,-0.4426226650668139,0.375,0.25080624728242473,0.3125,0.4601345946271741,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_absorptive_region::SLC51A,epithelial_absorptive_region,SLC51A,8,-0.24056509946269178,-0.3955393634874223,0.5536969738973666,-0.5663865661725972,0.15051856099635125,-0.4344706776513519,0.25,0.25882570947778544,0.3125,0.4601345946271741,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::SLC51A,epithelial_bile_region,SLC51A,8,-0.2404867066708279,-0.4405322880029021,0.6026688081349179,-0.5832049370920097,0.17676904388796844,-0.3990362590940508,0.25,0.29623845220102063,0.3125,0.5078373466303211,0.5357142857142857,adjacent_higher,True
region_transporter_expression,region_transporter_gene,immune_inflammatory_region::SLCO2B1,immune_inflammatory_region,SLCO2B1,8,0.030944905512124053,0.046863711525218704,0.10184010889708603,-0.03895459789392595,0.09312348721240413,0.3038577417802573,0.625,0.41855495398889025,0.546875,0.5909011115137275,0.6402439024390244,fibrotic_higher,True
region_transporter_expression,region_transporter_gene,epithelial_bile_region::ABCC3,epithelial_bile_region,ABCC3,8,-0.049866437427062225,0.0111259810854926,0.3589289341167198,-0.28499092095805756,0.17537801966963756,-0.13893122756953943,0.5,0.7060437933777461,0.9453125,0.7210660017474855,0.9453125,adjacent_higher,True
slide_transporter_expression,transporter_gene,SLC10A2,,,8,-0.15642855177876366,-0.0456919925880744,0.20492514361665284,-0.29762360952299727,-0.03727134228259048,-0.7633448439659983,0.25,0.06770131240485554,0.1484375,0.6113754706649078,0.80078125,adjacent_higher,True
slide_transporter_expression,transporter_gene,SLCO2B1,,,8,0.047803775697087915,0.064667600867645,0.06317313761394167,0.0059626099828839,0.08719506951712452,0.7567104864922541,0.625,0.06960342298953444,0.109375,0.6113754706649078,0.80078125,fibrotic_higher,True
slide_transporter_expression,transporter_gene,SLC15A3,,,8,0.05423213882509485,0.047258027224921596,0.07326229345806769,0.009485051043689189,0.10337678997809979,0.7402462612794819,0.875,0.07455798422742778,0.0546875,0.6113754706649078,0.560546875,fibrotic_higher,True
slide_transporter_expression,transporter_gene,SLC7A5,,,8,0.03352290120287954,0.01499637377204115,0.06758390745038097,-0.00656005518020314,0.08036317993174921,0.49601898539961636,0.625,0.20339539659467593,0.3125,0.7042923079221086,0.80078125,fibrotic_higher,True
slide_transporter_expression,transporter_gene,SLC1A5,,,8,0.026085402415330236,0.00807853241558025,0.05406225824541992,-0.00778631096460321,0.06160866408006764,0.48250671100185044,0.625,0.2145816239531228,0.3125,0.7042923079221086,0.80078125,fibrotic_higher,True
slide_transporter_expression,transporter_gene,SLC38A2,,,8,0.09096963230984542,0.08592856521040726,0.19424129886015112,-0.03482600180961698,0.21536430601612094,0.46833311372851394,0.625,0.22689504957375817,0.3125,0.7042923079221086,0.80078125,fibrotic_higher,True
slide_transporter_expression,transporter_gene,SLC1A4,,,8,0.01877987721703031,0.028155167153175502,0.04157055116339257,-0.007993560018268559,0.04464572627168534,0.45175915862207894,0.625,0.2420715785551697,0.4609375,0.7042923079221086,0.8999255952380952,fibrotic_higher,True
slide_transporter_expression,transporter_gene,ABCB1,,,8,-0.05648562222578759,-0.0034361522538225494,0.13501489292336952,-0.1445919318651677,0.02769098790847842,-0.4183658632225644,0.5,0.2753078987157517,0.546875,0.7042923079221086,0.9748641304347826,adjacent_higher,True
slide_transporter_expression,transporter_gene,SLC51B,,,8,-0.06524324404158408,-0.08177397349649144,0.170543729211223,-0.16901180619327022,0.048065422852350104,-0.38256020519393336,0.25,0.3150933998118043,0.3125,0.7042923079221086,0.80078125,adjacent_higher,True
slide_transporter_expression,transporter_gene,SLC51A,,,8,-0.06150501093905689,-0.1265136471075562,0.20746732396535286,-0.17566345348350504,0.08585688322924757,-0.29645637570053324,0.25,0.42944652922079796,0.3125,0.7042923079221086,0.80078125,adjacent_higher,True
slide_transporter_expression,transporter_gene,SLC5A1,,,8,-0.16128206833617287,-0.15627479761138235,0.6868181913242487,-0.591684960858633,0.2929533585798418,-0.2348249804292548,0.375,0.5278355851661661,0.546875,0.7724741459090984,0.9748641304347826,adjacent_higher,True
slide_transporter_expression,transporter_gene,ABCC3,,,8,-0.008777309562522964,0.007867546875403801,0.11564714585103729,-0.08400956747660866,0.06374156884563728,-0.07589732974325918,0.625,0.8361444214370967,1.0,0.9265384129438098,1.0,adjacent_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,B_plasma,,,8,0.16367407334736794,0.1705753745065035,0.20125881832060485,0.034564780401519814,0.29208909058687127,0.8132516861280359,0.75,0.054973017311466296,0.078125,0.3175031274429797,0.400390625,fibrotic_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Myofibroblast,,,8,-0.03298576423399522,-0.040029302492230204,0.09124001142817273,-0.08828582168885805,0.02823396142682846,-0.36152740138533135,0.25,0.34055153110684544,0.3828125,0.7818038461686504,0.8719618055555556,adjacent_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Absorptive,,,8,-0.04600327620257474,-0.0664479706010802,0.1527665348981539,-0.13953565358702089,0.05554052647762881,-0.30113451374179634,0.25,0.4225390315194717,0.4609375,0.7818038461686504,0.944921875,adjacent_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Microfold,,,8,-0.009208361246680962,-0.010842420457683799,0.03522699404714482,-0.030858653363944895,0.014191637423352098,-0.26140070976130614,0.25,0.4837431928326184,0.3125,0.7818038461686504,0.7536764705882353,adjacent_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Fibroblast,,,8,-0.009984881661037937,0.0015697830419403001,0.06062522413274912,-0.049220288154519315,0.027767982231920448,-0.16469847004894134,0.5,0.6554789154832175,0.7421875,0.7818038461686504,1.0,adjacent_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Monocyte,,,8,0.003528117414300012,-0.00062838512103115,0.02191139260273894,-0.008889637457802163,0.019084811105297955,0.16101748885915151,0.5,0.662592911893848,0.9453125,0.7818038461686504,1.0,fibrotic_higher,True
spatial_deconvolution_proportion,deconvolved_cell_type,Macrophage,,,8,0.0028368764837806504,-0.0027687797309275002,0.01933038240663064,-0.008880029660618776,0.01602376314551089,0.1467573907284708,0.5,0.6905012368824313,1.0,0.7818038461686504,1.0,fibrotic_higher,True
spatial_metabolism_score,metabolism_gene_set,bile_acid_transport,,,8,-0.5301272618640429,-0.5408840225734041,0.7920619705750028,-1.0306542571805686,-0.015901002469692626,-0.6693002335148011,0.375,0.10022248979388816,0.25,0.5807816222520604,0.6890625,adjacent_higher,True
spatial_metabolism_score,metabolism_gene_set,epithelial_repair,,,8,-0.3731758967629025,-0.5487832584588652,1.0039757796512312,-0.9847826876609646,0.2895359670747218,-0.3716981069927197,0.375,0.3280445459642142,0.25,0.5807816222520604,0.6890625,adjacent_higher,True
spatial_metabolism_score,metabolism_gene_set,fatty_acid_metabolism,,,8,-0.2527890967748005,-0.2766616735277434,0.82750402617624,-0.7762359269951764,0.2961110966850252,-0.3054838270006943,0.375,0.4161889498047215,0.3828125,0.5807816222520604,0.6890625,adjacent_higher,True
spatial_metabolism_score,metabolism_gene_set,inflammation,,,8,0.08978230296897172,0.08258639817776126,0.385419322837192,-0.16850551454126397,0.33275751227102923,0.23294707257554226,0.625,0.5310444839593893,0.3125,0.5807816222520604,0.6890625,fibrotic_higher,True
spatial_metabolism_score,metabolism_gene_set,ecm_remodeling,,,8,0.15734553170853227,0.1260450811943093,0.7687348119706312,-0.34043454863998396,0.6564848267660637,0.20468115825947988,0.625,0.5807816222520604,0.546875,0.5807816222520604,0.703125,fibrotic_higher,True
harreman_metabolite_z,metabolite,Myoinositol,,,8,-1.1085080665460372,-1.203767154838284,1.218766366496542,-1.8986933482321007,-0.3232899779570089,-0.9095328661985869,0.25,0.036870684413597865,0.078125,0.5970429408411855,0.7998511904761905,adjacent_higher,False
harreman_metabolite_z,metabolite,Calcium release-activated calcium transport,,,8,2.8230284148536655,3.4548488945998166,3.4302345238558467,0.48193221113231366,4.877961439393005,0.8229840832224978,0.75,0.05278846703890187,0.078125,0.5970429408411855,0.7998511904761905,fibrotic_higher,False
harreman_metabolite_z,metabolite,Dipeptides,,,8,1.8835857489242385,2.0666986792317883,2.3887043765974574,0.41715342918537995,3.5331122237260835,0.7885386602787888,0.75,0.06094171375545059,0.0546875,0.5970429408411855,0.7998511904761905,fibrotic_higher,False
harreman_metabolite_z,metabolite,Tripeptides,,,8,1.8835857489242385,2.0666986792317883,2.3887043765974574,0.457536443123663,3.545063427269673,0.7885386602787888,0.75,0.06094171375545059,0.0546875,0.5970429408411855,0.7998511904761905,fibrotic_higher,False
harreman_metabolite_z,metabolite,Adenosine diphosphate ribose,,,8,2.61229691626772,1.1615620943807925,3.350103096326721,0.6509038574545365,4.952662338880385,0.7797661269386064,0.875,0.06321463335437695,0.0390625,0.5970429408411855,0.7998511904761905,fibrotic_higher,False
