annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
Arterial endothelium,epi,17,0.019036261,0.12178825,0.068373874,0.10573019,0.21265554,0.17210898,0.0721659,0.20075746,0.042262804,0.029134242,0.042596888
Arterial endothelium,imu,2204,0.0062039453,0.16822316,0.04533129,0.06817348,0.22232756,0.20198692,0.19229658,0.19492804,0.029590398,0.015116188,0.09323515
B cells,epi,4051,0.010270219,0.0032355739,0.023173954,0.03295162,0.11309181,0.0700656,0.027827336,0.16447248,0.0018905232,0.00437649,0.027279308
B cells,imu,23162,0.0025356591,0.0036230236,0.014815279,0.027926322,0.10499419,0.072070256,0.030389326,0.15771869,0.0027840624,0.0043195714,0.026195195
CCR7hi CD4 T cells,epi,2508,0.003027205,0.0056052413,0.00919522,0.02444596,0.09470873,0.06877255,0.041901533,0.1400914,0.0009241375,0.0022150492,0.026650263
CCR7hi CD4 T cells,imu,10246,0.0012974888,0.0053310306,0.0124680335,0.019851627,0.09163981,0.07150305,0.03974834,0.13374066,0.0014903059,0.0033657753,0.027601926
CD4 T cells,epi,1040,0.01708475,0.015545188,0.031605635,0.03817027,0.15614532,0.1217212,0.057358675,0.16403826,0.0040371437,0.021978807,0.053263057
CD4 T cells,imu,11621,0.0052057854,0.011171853,0.02303271,0.027098143,0.14171119,0.104205,0.07988155,0.13794416,0.0033451961,0.018218098,0.052216955
CD63+CD81+ macrophage,epi,139,0.03020741,0.06346126,0.040110424,0.06014,0.33642507,0.22843671,0.31260958,0.28882757,0.019952856,0.0081908135,0.123617046
CD63+CD81+ macrophage,imu,1419,0.012939516,0.06314125,0.024360185,0.070039146,0.28313988,0.21888861,0.41408503,0.27580556,0.028357368,0.0080199605,0.17131285
CD69+ CD4 T cells,epi,17,0.018597925,0.006717827,0.19282219,0.035098046,0.14823468,0.14292994,0.047797613,0.12636404,0.0017362396,0.05344139,0.04482252
CD69+ CD4 T cells,imu,1145,0.0033041784,0.0068464647,0.109867245,0.022908328,0.11678158,0.098272264,0.07225458,0.11623819,0.0017912373,0.014892488,0.0593889
CD8 intraepithelial cells,epi,5079,0.032584522,0.005550886,0.104366995,0.050273735,0.14250425,0.07969237,0.030614018,0.15273452,0.002527075,0.019139282,0.025059227
CD8 intraepithelial cells,imu,2672,0.035227314,0.0062321946,0.09557033,0.051044837,0.14650905,0.08739858,0.040880382,0.15403286,0.0030047712,0.027263792,0.031012652
CXCR6-hi CD4 T cells,epi,843,0.00079108344,0.012258239,0.025467433,0.043612838,0.23428217,0.14308709,0.10144073,0.1985927,0.0017317709,0.007874848,0.05811374
CXCR6-hi CD4 T cells,imu,1430,0.00069433084,0.013955005,0.019185932,0.030984811,0.2091277,0.12895772,0.116900526,0.19337587,0.0021752391,0.0066030663,0.0660997
Collagen-hi tissue fibroblast,epi,4,0.0,0.88420606,0.13439026,0.06612248,0.3801784,0.29503858,0.25099474,0.11468692,0.15462121,0.0,0.10840961
Collagen-hi tissue fibroblast,imu,107,0.00927855,1.1132088,0.037879262,0.058354747,0.2639658,0.24582826,0.2410066,0.22518113,0.09408214,0.0018721165,0.07762777
Colonocytes-CAECAM-hi,epi,10537,0.045830023,0.0062897033,0.40290135,0.35378367,0.19146186,0.14274505,0.05670472,0.26909414,0.015011075,0.090463676,0.02888715
Colonocytes-CAECAM-hi,imu,3778,0.06495621,0.005994303,0.37741226,0.42061025,0.2517743,0.16222481,0.03619413,0.35800335,0.01752204,0.120824456,0.045033593
Colonocytes-LGALS4-hi,epi,13343,0.05395343,0.008031646,0.87485164,0.27670628,0.3116361,0.1556274,0.018846279,0.52486646,0.03474149,0.03018154,0.011967722
Colonocytes-LGALS4-hi,imu,6114,0.06524809,0.0043144985,0.680082,0.22129041,0.2481203,0.117063485,0.022443753,0.4474238,0.026993025,0.030046547,0.012690754
Contractile pericytes,epi,1,0.04311393,0.5382123,0.08622786,0.08622786,0.18616396,0.04742532,0.04742532,0.4760148,0.0,0.079042196,0.079042196
Contractile pericytes,imu,257,0.0050548064,0.57065886,0.062375993,0.06877611,0.17654365,0.108641885,0.08040784,0.24208005,0.014223007,0.0016361596,0.052402698
Cycling B cells,epi,1037,0.0028740023,0.0023130968,0.056802873,0.054293815,0.27490503,0.13885725,0.019715806,0.28546074,0.0013114029,0.0021133525,0.028930295
Cycling B cells,imu,4423,0.0030255178,0.0016849508,0.050761368,0.05597441,0.29751116,0.14895727,0.028661836,0.29691336,0.0011820298,0.0013109768,0.030233681
Cycling T cells,epi,211,0.0051861308,0.0083322935,0.1259285,0.06180718,0.3889562,0.22479767,0.054104723,0.2938649,0.00079344516,0.009667885,0.08447171
Cycling T cells,imu,628,0.002187098,0.0112200705,0.09140891,0.06100987,0.41077414,0.24269998,0.090736814,0.324238,0.0018435663,0.004674582,0.079782575
Cycling endothelium,epi,2,0.035512805,0.07762234,0.22312735,0.16684464,0.30796385,0.22873962,0.023984725,0.27952608,0.07388161,0.027415967,0.052022357
Cycling endothelium,imu,12,0.001891036,0.12806843,0.1181645,0.084284455,0.288988,0.2538816,0.10381278,0.18781078,0.031417318,0.0041346876,0.12667279
Cycling myeloid,epi,20,0.024739338,0.016604593,0.13714674,0.10668824,0.33291596,0.20680447,0.1590456,0.32651472,0.010117473,0.011753592,0.08304719
Cycling myeloid,imu,219,0.0056196316,0.03847387,0.0901119,0.096135125,0.32337666,0.21273212,0.2698647,0.3226747,0.014756312,0.003289627,0.13434686
Dendritic cell - CCR7-hi,epi,112,0.0015403997,0.010215365,0.020078823,0.03159007,0.25393015,0.16041946,0.11382762,0.20328464,0.002601608,0.0009232712,0.039855156
Dendritic cell - CCR7-hi,imu,405,0.0029230448,0.022886954,0.023264162,0.042579886,0.25166085,0.16208927,0.17383607,0.19637603,0.0025938132,0.0018065498,0.07882575
Dendritic cell - cDC1,epi,55,0.010363439,0.016165022,0.029852925,0.058575224,0.26269814,0.17543106,0.09111865,0.25791463,0.006590389,0.002189573,0.060743913
Dendritic cell - cDC1,imu,464,0.0024008022,0.026074113,0.028441926,0.056149498,0.24753085,0.15401773,0.077839315,0.26507372,0.0049654986,0.0034096579,0.048806798
Dendritic cell - cDC2,epi,234,0.012460331,0.044752736,0.042219948,0.084326126,0.2154898,0.16442674,0.1654555,0.22351557,0.013038386,0.016603246,0.097026736
Dendritic cell - cDC2,imu,1171,0.004034109,0.06284687,0.03104816,0.07522735,0.2402129,0.18030596,0.19467069,0.26017365,0.011349301,0.0059587923,0.10321461
Enteric glia,epi,6,0.02984427,0.24380791,0.10999632,0.11841795,0.11217218,0.094464146,0.0682576,0.15336294,0.16848774,0.0,0.10342143
Enteric glia,imu,180,0.009026073,0.2551379,0.05567894,0.04994402,0.11737402,0.1053909,0.12615576,0.14170967,0.12709574,0.0018803532,0.07978016
Enterocyte-ANPEP-hi,epi,26837,0.33448726,0.0026191731,0.29659638,0.5310892,0.20952274,0.15606542,0.024838269,0.28508908,0.02817155,0.31308788,0.03273044
Enterocyte-ANPEP-hi,imu,22210,0.3613203,0.0030104662,0.31781578,0.5959649,0.22858392,0.17501222,0.049257334,0.3291095,0.037954308,0.31652245,0.04402221
Enterocyte-FABP-hi,epi,9937,0.38958433,0.002105702,0.4504741,0.5542664,0.20530465,0.13531932,0.019116728,0.34345087,0.029214524,0.23053958,0.014716125
Enterocyte-FABP-hi,imu,12031,0.42783815,0.0021026332,0.47653815,0.6206233,0.21353522,0.12750864,0.01869889,0.39058727,0.031637892,0.19836558,0.016800778
Enterocyte-mito-hi,epi,12803,0.1138693,0.004855954,0.5045339,0.27136227,0.1719282,0.11189441,0.020898925,0.2819677,0.019184899,0.11765301,0.03658718
Enterocyte-mito-hi,imu,16855,0.07684677,0.0068314197,0.5274784,0.21137385,0.20289549,0.12504555,0.03684793,0.31103322,0.018718762,0.07337659,0.051351264
Enterocytes-COX-hi,epi,93,0.24152979,0.0036876055,0.7832655,0.68213016,0.25562882,0.15129784,0.045660347,0.66333985,0.06669562,0.2522949,0.040266313
Enterocytes-COX-hi,imu,2,0.120530926,0.013813141,0.9388771,0.5156629,0.3157838,0.26534754,0.050493266,0.49157792,0.04884361,0.17119041,0.06394236
