annotation2v2,status,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
Arterial endothelium,F,epi,6,0.0040901327,0.1438504,0.046927214,0.07546053,0.27549937,0.17583387,0.067859046,0.18567729,0.030923204,0.0068687648,0.014367342
Arterial endothelium,F,imu,720,0.004560449,0.17645478,0.045629982,0.06390088,0.2421616,0.2068796,0.1370041,0.21157476,0.027645476,0.015006047,0.096964814
Arterial endothelium,H,epi,11,0.027188694,0.10975435,0.08007206,0.12224092,0.17837708,0.1700772,0.074515074,0.208983,0.048448037,0.041279044,0.05799482
Arterial endothelium,H,imu,298,0.006196546,0.14224683,0.045337006,0.06587601,0.1984297,0.2204162,0.25068277,0.16378641,0.047172233,0.017520092,0.073507294
Arterial endothelium,I,imu,311,0.0038273898,0.24189425,0.02193499,0.075248,0.27476484,0.22640829,0.16166422,0.19002053,0.027492134,0.015823923,0.13517842
Arterial endothelium,N,imu,875,0.008403524,0.14411171,0.053399276,0.06995719,0.1955082,0.18300441,0.22879733,0.19358037,0.025948709,0.014136568,0.08197706
B cells,F,epi,2698,0.0012193746,0.003224905,0.026036039,0.031580806,0.106543005,0.0686017,0.02688453,0.15408064,0.0013674404,0.0046394384,0.028527917
B cells,F,imu,11972,0.0005185407,0.0039388244,0.0107297255,0.02628974,0.09990736,0.07043608,0.034185078,0.15932463,0.002441059,0.0043626255,0.026905395
B cells,H,epi,781,0.044325426,0.0040164352,0.008869725,0.03064257,0.11651948,0.068242505,0.037066687,0.18415074,0.0041977433,0.0042658653,0.029435411
B cells,H,imu,4428,0.0041155834,0.004192656,0.015908347,0.028841257,0.0924758,0.07057622,0.028898278,0.14279877,0.0030174735,0.005260059,0.02827832
B cells,I,epi,12,0.0,0.0055686575,0.03757949,0.055620972,0.22806753,0.14650239,0.096506275,0.2909771,0.004222032,0.0,0.005133279
B cells,I,imu,255,0.00040067965,0.004721867,0.024137763,0.029834254,0.123652495,0.07841623,0.06108639,0.15095447,0.0057415958,0.0030095633,0.035828505
B cells,N,epi,560,0.006601126,0.0021479565,0.029025443,0.042290542,0.13739884,0.07802313,0.018012354,0.18438388,0.0011429526,0.0033577073,0.018731253
B cells,N,imu,6507,0.005255416,0.0026112972,0.02122298,0.030240031,0.12214083,0.0758449,0.023217335,0.16518202,0.0031404048,0.0036516953,0.02309344
CCR7hi CD4 T cells,F,epi,2230,0.00068760157,0.005439823,0.00701094,0.024988487,0.09497847,0.06896172,0.040833265,0.14257517,0.00077731325,0.0019970932,0.025825115
CCR7hi CD4 T cells,F,imu,7804,0.00056896626,0.005110759,0.0080645,0.019813666,0.08941804,0.07257548,0.041317746,0.13392878,0.0014241834,0.0030978846,0.028783469
CCR7hi CD4 T cells,H,epi,158,0.03715263,0.009312078,0.0052295937,0.01448181,0.10327724,0.06980276,0.044839136,0.1325361,0.0018993082,0.0051101646,0.03717121
CCR7hi CD4 T cells,H,imu,572,0.005924122,0.008404055,0.023986623,0.022974918,0.111494824,0.07972109,0.044232953,0.13502495,0.0027424768,0.0019172638,0.026565952
CCR7hi CD4 T cells,I,epi,8,0.0,0.0,0.07258602,0.04438181,0.043929875,0.023579217,0.11116936,0.054944966,0.0032972468,0.0,0.044730667
CCR7hi CD4 T cells,I,imu,86,0.0,0.004054107,0.013064709,0.02389698,0.076192364,0.070416786,0.059234787,0.1150492,0.0036432226,0.0060297325,0.03118347
CCR7hi CD4 T cells,N,epi,112,0.0016853849,0.0040699267,0.053752244,0.02627641,0.080877475,0.06678075,0.05407972,0.107378185,0.0023023176,0.002628747,0.026946006
CCR7hi CD4 T cells,N,imu,1784,0.003063487,0.005370856,0.028009081,0.01882125,0.0957374,0.06422919,0.0305058,0.13340694,0.0012742901,0.0048736613,0.022592848
CD4 T cells,F,epi,39,0.0037983262,0.0032310958,0.008029056,0.032960087,0.100220144,0.07879812,0.11376812,0.10859755,0.0,0.005883437,0.08923662
CD4 T cells,F,imu,2838,0.00088385254,0.011729649,0.019600986,0.024165591,0.12806375,0.094136156,0.09465856,0.13753381,0.0029583191,0.015839461,0.06314787
CD4 T cells,H,epi,985,0.01761239,0.016076326,0.031617247,0.038461376,0.16003649,0.12453731,0.054929692,0.16840623,0.004262568,0.02266476,0.051300682
CD4 T cells,H,imu,2158,0.009501822,0.01051469,0.037680585,0.029835673,0.16719298,0.12874791,0.08410428,0.16796021,0.0032423758,0.013068388,0.04859538
CD4 T cells,I,epi,1,0.0,0.0,0.0,0.0,0.0,0.12019365,0.2403873,0.0,0.0,0.0,0.28870082
CD4 T cells,I,imu,654,0.0010984421,0.010264627,0.010640227,0.026647547,0.17227177,0.117033966,0.10419258,0.16617769,0.0048376727,0.011620542,0.061718885
CD4 T cells,N,epi,15,0.018120043,0.013720092,0.09424956,0.03514547,0.056440074,0.048498668,0.057995338,0.032289423,0.0,0.020247936,0.07289851
CD4 T cells,N,imu,5971,0.006157217,0.011243609,0.020727197,0.027551953,0.13564102,0.0987154,0.06866915,0.12419859,0.0034027682,0.02193246,0.047289662
CD63+CD81+ macrophage,F,epi,132,0.027348617,0.06428847,0.04024816,0.05985466,0.33936223,0.23298615,0.31060004,0.2818391,0.019066095,0.0073070535,0.12388708
CD63+CD81+ macrophage,F,imu,861,0.011080643,0.07039352,0.026435751,0.06618393,0.30858383,0.24171239,0.4548023,0.2778027,0.023364373,0.0074919444,0.16523868
CD63+CD81+ macrophage,H,epi,6,0.09813545,0.04530865,0.040060148,0.06903037,0.2843244,0.13395749,0.34582445,0.42521226,0.02753976,0.028998666,0.113330044
