donor_id,status,annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
100397,F,Arterial endothelium,imu,14,0.002311083,0.1769056,0.04596566,0.07452671,0.22495253,0.16653354,0.12364105,0.27474836,0.0128891105,0.0083174165,0.04331421
100397,F,B cells,epi,3,0.0,0.009461075,0.119574584,0.058499936,0.09072947,0.0,0.06738458,0.20530058,0.0,0.0,0.04649057
100397,F,B cells,imu,86,0.0,0.008533272,0.029178264,0.033403557,0.09180879,0.058193196,0.071958706,0.121875696,0.004662292,0.00079177675,0.020505784
100397,F,CCR7hi CD4 T cells,epi,5,0.0,0.007613232,0.12786965,0.0,0.09235114,0.02451958,0.024342488,0.043600645,0.022129536,0.0,0.0
100397,F,CCR7hi CD4 T cells,imu,91,0.000942556,0.0019681922,0.005507373,0.014247002,0.015122191,0.030299181,0.0479508,0.019520095,0.0027082206,0.0034251446,0.03984538
100397,F,CD4 T cells,imu,41,0.0037664226,0.008138683,0.0017619347,0.016998686,0.040227268,0.042620916,0.12547563,0.050573647,0.004084227,0.014595027,0.05209104
100397,F,CD63+CD81+ macrophage,epi,1,0.02427694,0.03206858,0.01213847,0.09891673,0.30717734,0.16858996,0.02512998,0.35832027,0.01213847,0.022253862,0.15702327
100397,F,CD63+CD81+ macrophage,imu,2,0.009761461,0.06413248,0.0,0.047077116,0.19274461,0.20087029,0.27644137,0.3248359,0.0,0.0,0.08313602
100397,F,CD8 intraepithelial cells,epi,82,0.0058479183,0.01311007,0.22192009,0.10096987,0.1261038,0.08265716,0.05524429,0.101611905,0.003043652,0.024016581,0.03393751
100397,F,CD8 intraepithelial cells,imu,5,0.010146229,0.005290881,0.16351432,0.1387075,0.10936896,0.07825519,0.1006577,0.1819897,0.0,0.0,0.010581762
100397,F,Colonocytes-CAECAM-hi,epi,25,0.12781675,0.019679708,0.42825553,0.4315417,0.2531612,0.18596259,0.06819384,0.33212173,0.020001762,0.1493534,0.022604924
100397,F,Colonocytes-CAECAM-hi,imu,33,0.21895446,0.020249076,0.472065,0.5001896,0.2935763,0.1954429,0.041737065,0.4062497,0.016785914,0.1740346,0.030091198
100397,F,Colonocytes-LGALS4-hi,epi,564,0.07166973,0.016390603,0.59734786,0.40004387,0.32265818,0.170112,0.035624944,0.56674296,0.024775198,0.040297907,0.0047597606
100397,F,Colonocytes-LGALS4-hi,imu,114,0.0786451,0.01308688,0.5114277,0.36794987,0.28225088,0.14444639,0.029930605,0.5160946,0.024989352,0.07972714,0.01704508
100397,F,Cycling B cells,imu,4,0.019246815,0.025654882,0.043453842,0.029422961,0.3584611,0.16422567,0.06903577,0.37454522,0.0,0.0,0.033399396
100397,F,Cycling T cells,imu,2,0.0,0.0,0.13609791,0.09377213,0.10337008,0.025452627,0.09448228,0.040187757,0.0,0.0,0.15794529
