feature,gene
bile_acid_transport_mean,SLC10A2
bile_acid_transport_mean,SLC51A
bile_acid_transport_mean,SLC51B
bile_acid_transport_mean,FABP6
bile_acid_transport_mean,NR1H4
bile_acid_transport_mean,CYP7A1
bile_acid_transport_mean,CYP27A1
bile_acid_transport_mean,ABCB11
bile_acid_transport_mean,ABCC3
bile_acid_transport_mean,ABCG5
bile_acid_transport_mean,ABCG8
ecm_remodeling_mean,COL1A1
ecm_remodeling_mean,COL1A2
ecm_remodeling_mean,COL3A1
ecm_remodeling_mean,COL5A1
ecm_remodeling_mean,COL6A1
ecm_remodeling_mean,FN1
ecm_remodeling_mean,POSTN
ecm_remodeling_mean,THY1
ecm_remodeling_mean,ACTA2
ecm_remodeling_mean,TAGLN
ecm_remodeling_mean,MMP2
ecm_remodeling_mean,TIMP1
epithelial_repair_mean,OLFM4
epithelial_repair_mean,LGR5
epithelial_repair_mean,MKI67
epithelial_repair_mean,REG1A
epithelial_repair_mean,REG3A
epithelial_repair_mean,REG3G
epithelial_repair_mean,SPINK4
epithelial_repair_mean,TFF3
epithelial_repair_mean,MUC2
epithelial_repair_mean,KRT8
epithelial_repair_mean,KRT18
fatty_acid_metabolism_mean,CPT1A
fatty_acid_metabolism_mean,ACADM
fatty_acid_metabolism_mean,ACADVL
fatty_acid_metabolism_mean,HADHA
fatty_acid_metabolism_mean,HADHB
fatty_acid_metabolism_mean,ACOX1
fatty_acid_metabolism_mean,PPARA
fatty_acid_metabolism_mean,CD36
fatty_acid_metabolism_mean,FABP1
fatty_acid_metabolism_mean,FABP2
fatty_acid_metabolism_mean,SLC27A4
glycolysis_mean,HK1
glycolysis_mean,HK2
glycolysis_mean,GPI
glycolysis_mean,PFKP
glycolysis_mean,PFKL
glycolysis_mean,ALDOA
glycolysis_mean,GAPDH
glycolysis_mean,PGK1
glycolysis_mean,PGAM1
glycolysis_mean,ENO1
glycolysis_mean,PKM
glycolysis_mean,LDHA
glycolysis_mean,SLC2A1
glycolysis_mean,SLC16A3
hypoxia_mean,HIF1A
hypoxia_mean,VEGFA
hypoxia_mean,CA9
hypoxia_mean,ENO1
hypoxia_mean,LDHA
hypoxia_mean,SLC2A1
hypoxia_mean,PGK1
hypoxia_mean,BNIP3
hypoxia_mean,NDRG1
hypoxia_mean,P4HA1
inflammation_mean,IL1B
inflammation_mean,TNF
inflammation_mean,IL6
inflammation_mean,CXCL8
inflammation_mean,CCL2
inflammation_mean,CXCL10
inflammation_mean,NFKBIA
inflammation_mean,PTGS2
inflammation_mean,S100A8
inflammation_mean,S100A9
oxidative_phosphorylation_mean,NDUFA1
oxidative_phosphorylation_mean,NDUFA2
oxidative_phosphorylation_mean,NDUFB1
oxidative_phosphorylation_mean,NDUFB8
oxidative_phosphorylation_mean,SDHA
oxidative_phosphorylation_mean,SDHB
oxidative_phosphorylation_mean,UQCRC1
oxidative_phosphorylation_mean,UQCRC2
oxidative_phosphorylation_mean,COX4I1
oxidative_phosphorylation_mean,COX5A
oxidative_phosphorylation_mean,ATP5F1A
oxidative_phosphorylation_mean,ATP5F1B
oxidative_phosphorylation_mean,ATP5MC1
retinoid_vitamin_a_mean,ALDH1A1
retinoid_vitamin_a_mean,ALDH1A2
retinoid_vitamin_a_mean,ALDH1A3
retinoid_vitamin_a_mean,RBP1
retinoid_vitamin_a_mean,RBP4
retinoid_vitamin_a_mean,STRA6
retinoid_vitamin_a_mean,CRABP2
retinoid_vitamin_a_mean,CYP26A1
retinoid_vitamin_a_mean,CYP26B1
retinoid_vitamin_a_mean,RXRA
retinoid_vitamin_a_mean,RARA
epithelial_bile_urea_transport_mean,SLC5A1
epithelial_bile_urea_transport_mean,SLC10A2
epithelial_bile_urea_transport_mean,SLC51A
epithelial_bile_urea_transport_mean,SLC51B
epithelial_bile_urea_transport_mean,ABCB1
epithelial_bile_urea_transport_mean,ABCC3
fibrotic_amino_acid_transport_mean,SLC38A2
fibrotic_amino_acid_transport_mean,SLC15A3
fibrotic_amino_acid_transport_mean,SLCO2B1
fibrotic_amino_acid_transport_mean,SLC7A5
fibrotic_amino_acid_transport_mean,SLC1A5
fibrotic_amino_acid_transport_mean,SLC1A4
