annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
Arterial endothelium,imu,bile_acid_transport_mean,0.008403523825109005,0.004560449160635471,-0.0038430746644735336,0.003827389795333147,-0.004576134029775858
Arterial endothelium,imu,ecm_remodeling_mean,0.14411170780658722,0.17645478248596191,0.032343074679374695,0.24189424514770508,0.09778253734111786
Arterial endothelium,imu,epithelial_repair_mean,0.05339927598834038,0.04562998190522194,-0.007769294083118439,0.02193498983979225,-0.031464286148548126
Arterial endothelium,imu,fatty_acid_metabolism_mean,0.0699571892619133,0.06390088051557541,-0.006056308746337891,0.07524800300598145,0.005290813744068146
Arterial endothelium,imu,glycolysis_mean,0.1955081969499588,0.2421616017818451,0.04665340483188629,0.2747648358345032,0.07925663888454437
Arterial endothelium,imu,hypoxia_mean,0.18300440907478333,0.2068796008825302,0.023875191807746887,0.22640828788280487,0.043403878808021545
Arterial endothelium,imu,inflammation_mean,0.2287973314523697,0.13700410723686218,-0.09179322421550751,0.161664217710495,-0.0671331137418747
Arterial endothelium,imu,oxidative_phosphorylation_mean,0.19358037412166595,0.2115747630596161,0.017994388937950134,0.19002053141593933,-0.0035598427057266235
Arterial endothelium,imu,retinoid_vitamin_a_mean,0.02594870887696743,0.027645476162433624,0.0016967672854661942,0.027492133900523186,0.0015434250235557556
Arterial endothelium,imu,epithelial_bile_urea_transport_mean,0.01413656771183014,0.015006046742200851,0.0008694790303707123,0.01582392305135727,0.0016873553395271301
Arterial endothelium,imu,fibrotic_amino_acid_transport_mean,0.08197706192731857,0.09696481376886368,0.014987751841545105,0.13517841696739197,0.053201355040073395
B cells,epi,bile_acid_transport_mean,0.006601125933229923,0.001219374593347311,-0.005381751339882612,0.0,-0.006601125933229923
B cells,epi,ecm_remodeling_mean,0.00214795651845634,0.003224905114620924,0.0010769485961645842,0.005568657536059618,0.003420701017603278
B cells,epi,epithelial_repair_mean,0.029025442898273468,0.026036038994789124,-0.0029894039034843445,0.0375794917345047,0.008554048836231232
B cells,epi,fatty_acid_metabolism_mean,0.042290542274713516,0.03158080577850342,-0.010709736496210098,0.05562097206711769,0.013330429792404175
B cells,epi,glycolysis_mean,0.1373988389968872,0.10654300451278687,-0.030855834484100342,0.2280675321817398,0.0906686931848526
B cells,epi,hypoxia_mean,0.07802312821149826,0.06860169768333435,-0.00942143052816391,0.14650239050388336,0.0684792622923851
B cells,epi,inflammation_mean,0.018012354150414467,0.0268845297396183,0.008872175589203835,0.0965062752366066,0.07849392108619213
B cells,epi,oxidative_phosphorylation_mean,0.18438388407230377,0.15408064424991608,-0.030303239822387695,0.2909770905971527,0.10659320652484894
B cells,epi,retinoid_vitamin_a_mean,0.0011429525911808014,0.0013674404472112656,0.00022448785603046417,0.004222032148391008,0.003079079557210207
B cells,epi,epithelial_bile_urea_transport_mean,0.003357707289978862,0.0046394383534789085,0.0012817310635000467,0.0,-0.003357707289978862
B cells,epi,fibrotic_amino_acid_transport_mean,0.01873125322163105,0.028527917340397835,0.009796664118766785,0.005133279133588076,-0.013597974088042974
B cells,imu,bile_acid_transport_mean,0.005255416035652161,0.0005185406771488488,-0.004736875358503312,0.00040067965164780617,-0.0048547363840043545
B cells,imu,ecm_remodeling_mean,0.002611297182738781,0.003938824404031038,0.0013275272212922573,0.004721866920590401,0.0021105697378516197
B cells,imu,epithelial_repair_mean,0.021222980692982674,0.01072972547262907,-0.010493255220353603,0.024137763306498528,0.002914782613515854
B cells,imu,fatty_acid_metabolism_mean,0.030240030959248543,0.026289740577340126,-0.003950290381908417,0.02983425371348858,-0.000405777245759964
B cells,imu,glycolysis_mean,0.12214083224534988,0.09990736097097397,-0.022233471274375916,0.12365249544382095,0.0015116631984710693
B cells,imu,hypoxia_mean,0.0758448988199234,0.07043608278036118,-0.005408816039562225,0.07841622829437256,0.0025713294744491577
B cells,imu,inflammation_mean,0.0232173353433609,0.034185077995061874,0.010967742651700974,0.06108639016747475,0.037869054824113846
B cells,imu,oxidative_phosphorylation_mean,0.16518202424049377,0.15932463109493256,-0.005857393145561218,0.150954470038414,-0.014227554202079773
B cells,imu,retinoid_vitamin_a_mean,0.0031404048204421997,0.002441059099510312,-0.0006993457209318876,0.005741595756262541,0.002601190935820341
