feature,rank,annotation2v2,fraction,n_cells,mean_value
bile_acid_transport_mean,1,Enterocytes-MT-hi,epi,887,0.4442492127418518
bile_acid_transport_mean,2,Enterocyte-FABP-hi,imu,12031,0.42783814668655396
bile_acid_transport_mean,3,Enterocyte-FABP-hi,epi,9937,0.38958433270454407
bile_acid_transport_mean,4,Enterocyte-ANPEP-hi,imu,22210,0.36132028698921204
bile_acid_transport_mean,5,Enterocyte-ANPEP-hi,epi,26837,0.33448725938796997
bile_acid_transport_mean,6,Ribo-hi subset,epi,4315,0.1353696882724762
bile_acid_transport_mean,7,Enteroendocrine cells,epi,317,0.1169939711689949
bile_acid_transport_mean,8,Enterocyte-mito-hi,epi,12803,0.11386930197477341
bile_acid_transport_mean,9,Stem-like cells-OLFM4-hi,epi,5385,0.1120859906077385
bile_acid_transport_mean,10,Paneth cells,epi,1189,0.1027633473277092
bile_acid_transport_mean,11,Enteroendocrine cells,imu,790,0.09623931348323822
bile_acid_transport_mean,12,Stem-like cells-OLFM4-hi,imu,15995,0.08445018529891968
bile_acid_transport_mean,13,Enterocyte-mito-hi,imu,16855,0.07684677094221115
bile_acid_transport_mean,14,Goblet cells,epi,6381,0.06618349999189377
bile_acid_transport_mean,15,Colonocytes-LGALS4-hi,imu,6114,0.06524808704853058
ecm_remodeling_mean,1,Trophocyte-TGFBI hi,imu,854,1.0334417819976807
ecm_remodeling_mean,2,Telocyte,imu,1117,0.9877971410751343
ecm_remodeling_mean,3,Myofibroblasts,imu,643,0.9601224064826965
ecm_remodeling_mean,4,Pericytes,imu,481,0.8149912357330322
ecm_remodeling_mean,5,Trophocyte,imu,2882,0.7744920253753662
ecm_remodeling_mean,6,Tissue fibroblast,imu,1830,0.6919249892234802
ecm_remodeling_mean,7,Inflammatory fibroblasts,imu,1347,0.6807264685630798
ecm_remodeling_mean,8,Arterial endothelium,imu,2204,0.16822315752506256
ecm_remodeling_mean,9,Monocyte,imu,2119,0.13313131034374237
ecm_remodeling_mean,10,Lymphatic endothelium,imu,826,0.11760688573122025
ecm_remodeling_mean,11,NAMPThi-Neutrophils,imu,1632,0.10986768454313278
ecm_remodeling_mean,12,Monocyte-FPR1-hi,imu,1198,0.10830216109752655
ecm_remodeling_mean,13,Venous endothelium,imu,1341,0.10738743096590042
ecm_remodeling_mean,14,Mito-hi endothelium,imu,976,0.10234743356704712
ecm_remodeling_mean,15,Monocyte-HSP-hi,imu,391,0.10155099630355835
epithelial_repair_mean,1,Goblet cells,imu,10497,1.0876928567886353
epithelial_repair_mean,2,Paneth cells,epi,1189,1.053883671760559
epithelial_repair_mean,3,Goblet cells,epi,6381,1.0400395393371582
epithelial_repair_mean,4,Paneth cells,imu,2332,0.9578081369400024
epithelial_repair_mean,5,Enterocytes-MT-hi,epi,887,0.9299333691596985
epithelial_repair_mean,6,Colonocytes-LGALS4-hi,epi,13343,0.874851644039154
epithelial_repair_mean,7,Stem-like cells-OLFM4-hi,epi,5385,0.8374889492988586
epithelial_repair_mean,8,Stem-like cells-OLFM4-hi,imu,15995,0.8296603560447693
epithelial_repair_mean,9,Colonocytes-LGALS4-hi,imu,6114,0.6800820231437683
epithelial_repair_mean,10,Enterocyte-mito-hi,imu,16855,0.5274783968925476
epithelial_repair_mean,11,Enterocyte-mito-hi,epi,12803,0.5045338869094849
epithelial_repair_mean,12,Enterocyte-FABP-hi,imu,12031,0.47653815150260925
epithelial_repair_mean,13,Tuft cells,epi,497,0.45670071244239807
epithelial_repair_mean,14,Enterocyte-FABP-hi,epi,9937,0.4504741132259369
epithelial_repair_mean,15,Tuft cells,imu,986,0.4223571717739105
fatty_acid_metabolism_mean,1,Enterocyte-FABP-hi,imu,12031,0.6206232905387878
fatty_acid_metabolism_mean,2,Enterocyte-ANPEP-hi,imu,22210,0.5959649085998535
fatty_acid_metabolism_mean,3,Enterocytes-MT-hi,epi,887,0.5782726407051086
fatty_acid_metabolism_mean,4,Enterocyte-FABP-hi,epi,9937,0.5542663931846619
fatty_acid_metabolism_mean,5,Enterocyte-ANPEP-hi,epi,26837,0.531089186668396
fatty_acid_metabolism_mean,6,Colonocytes-CAECAM-hi,imu,3778,0.420610249042511
fatty_acid_metabolism_mean,7,Colonocytes-CAECAM-hi,epi,10537,0.35378366708755493
fatty_acid_metabolism_mean,8,Paneth cells,epi,1189,0.3347885012626648
fatty_acid_metabolism_mean,9,Stem-like cells-OLFM4-hi,epi,5385,0.3107392489910126
fatty_acid_metabolism_mean,10,Colonocytes-LGALS4-hi,epi,13343,0.2767062783241272
fatty_acid_metabolism_mean,11,Stem-like cells-OLFM4-hi,imu,15995,0.27652356028556824
fatty_acid_metabolism_mean,12,Enterocyte-mito-hi,epi,12803,0.2713622748851776
