annotation2v2,status,fraction,gene,n_cells,mean_expression,fraction_expressing
Arterial endothelium,F,epi,ABCB1,6,0.04121258854866028,0.16666666666666666
Arterial endothelium,F,epi,ABCB11,6,0.04499145969748497,0.16666666666666666
Arterial endothelium,F,epi,ABCC1,6,0.0,0.0
Arterial endothelium,F,epi,ABCC2,6,0.0,0.0
Arterial endothelium,F,epi,ABCC3,6,0.0,0.0
Arterial endothelium,F,epi,ABCC4,6,0.04499145969748497,0.16666666666666666
Arterial endothelium,F,epi,SLC10A1,6,0.0,0.0
Arterial endothelium,F,epi,SLC10A2,6,0.0,0.0
Arterial endothelium,F,epi,SLC13A5,6,0.0,0.0
Arterial endothelium,F,epi,SLC14A1,6,0.0,0.0
Arterial endothelium,F,epi,SLC14A2,6,0.0,0.0
Arterial endothelium,F,epi,SLC15A3,6,0.0,0.0
Arterial endothelium,F,epi,SLC15A4,6,0.0,0.0
Arterial endothelium,F,epi,SLC16A10,6,0.0,0.0
Arterial endothelium,F,epi,SLC1A4,6,0.0,0.0
Arterial endothelium,F,epi,SLC1A5,6,0.04121258854866028,0.16666666666666666
Arterial endothelium,F,epi,SLC22A7,6,0.0,0.0
Arterial endothelium,F,epi,SLC36A2,6,0.0,0.0
Arterial endothelium,F,epi,SLC38A1,6,0.04121258854866028,0.16666666666666666
Arterial endothelium,F,epi,SLC38A2,6,0.04499145969748497,0.16666666666666666
Arterial endothelium,F,epi,SLC38A3,6,0.0,0.0
Arterial endothelium,F,epi,SLC38A4,6,0.0,0.0
Arterial endothelium,F,epi,SLC38A6,6,0.0,0.0
Arterial endothelium,F,epi,SLC3A2,6,0.04121258854866028,0.16666666666666666
Arterial endothelium,F,epi,SLC43A1,6,0.0,0.0
Arterial endothelium,F,epi,SLC43A2,6,0.0,0.0
Arterial endothelium,F,epi,SLC51A,6,0.0,0.0
Arterial endothelium,F,epi,SLC51B,6,0.0,0.0
Arterial endothelium,F,epi,SLC5A1,6,0.0,0.0
Arterial endothelium,F,epi,SLC5A5,6,0.0,0.0
Arterial endothelium,F,epi,SLC6A15,6,0.0,0.0
Arterial endothelium,F,epi,SLC6A16,6,0.0,0.0
Arterial endothelium,F,epi,SLC7A10,6,0.0,0.0
Arterial endothelium,F,epi,SLC7A11,6,0.0,0.0
Arterial endothelium,F,epi,SLC7A5,6,0.0,0.0
Arterial endothelium,F,epi,SLC7A8,6,0.0,0.0
Arterial endothelium,F,epi,SLCO1A2,6,0.0,0.0
Arterial endothelium,F,epi,SLCO1B1,6,0.0,0.0
Arterial endothelium,F,epi,SLCO1B3,6,0.0,0.0
Arterial endothelium,F,epi,SLCO2B1,6,0.0,0.0
Arterial endothelium,F,epi,SLCO4A1,6,0.04121258854866028,0.16666666666666666
Arterial endothelium,F,imu,ABCB1,720,0.07550223171710968,0.20833333333333334
Arterial endothelium,F,imu,ABCB11,720,0.0009189481497742236,0.002777777777777778
Arterial endothelium,F,imu,ABCC1,720,0.022222714498639107,0.07777777777777778
Arterial endothelium,F,imu,ABCC2,720,0.0012167065870016813,0.005555555555555556
Arterial endothelium,F,imu,ABCC3,720,0.008122149854898453,0.03611111111111111
Arterial endothelium,F,imu,ABCC4,720,0.039495229721069336,0.12083333333333333
Arterial endothelium,F,imu,SLC10A1,720,9.390849299961701e-05,0.001388888888888889
Arterial endothelium,F,imu,SLC10A2,720,0.0003793384530581534,0.001388888888888889
Arterial endothelium,F,imu,SLC13A5,720,0.00016582829994149506,0.001388888888888889
Arterial endothelium,F,imu,SLC14A1,720,0.0005390994483605027,0.002777777777777778
Arterial endothelium,F,imu,SLC14A2,720,0.0,0.0
Arterial endothelium,F,imu,SLC15A3,720,0.06061640381813049,0.17083333333333334
Arterial endothelium,F,imu,SLC15A4,720,0.012591889128088951,0.04861111111111111
Arterial endothelium,F,imu,SLC16A10,720,0.0,0.0
Arterial endothelium,F,imu,SLC1A4,720,0.010582665912806988,0.0375
Arterial endothelium,F,imu,SLC1A5,720,0.09653252363204956,0.26666666666666666
Arterial endothelium,F,imu,SLC22A7,720,0.0,0.0
Arterial endothelium,F,imu,SLC36A2,720,0.0,0.0
Arterial endothelium,F,imu,SLC38A1,720,0.050435591489076614,0.14583333333333334
Arterial endothelium,F,imu,SLC38A2,720,0.395891398191452,0.6083333333333333
Arterial endothelium,F,imu,SLC38A3,720,0.0012015209067612886,0.004166666666666667
Arterial endothelium,F,imu,SLC38A4,720,5.293107096804306e-05,0.001388888888888889
Arterial endothelium,F,imu,SLC38A6,720,0.014833222143352032,0.05694444444444444
Arterial endothelium,F,imu,SLC3A2,720,0.1782466471195221,0.4083333333333333
Arterial endothelium,F,imu,SLC43A1,720,0.013414629735052586,0.05
Arterial endothelium,F,imu,SLC43A2,720,0.008634703233838081,0.03611111111111111
Arterial endothelium,F,imu,SLC51A,720,0.00028187455609440804,0.002777777777777778
Arterial endothelium,F,imu,SLC51B,720,0.005446574185043573,0.019444444444444445
Arterial endothelium,F,imu,SLC5A1,720,0.00030411288025788963,0.002777777777777778
Arterial endothelium,F,imu,SLC5A5,720,0.0,0.0
Arterial endothelium,F,imu,SLC6A15,720,0.0,0.0
Arterial endothelium,F,imu,SLC6A16,720,0.008495043031871319,0.020833333333333332
Arterial endothelium,F,imu,SLC7A10,720,0.0,0.0
Arterial endothelium,F,imu,SLC7A11,720,0.0035714011173695326,0.018055555555555554
Arterial endothelium,F,imu,SLC7A5,720,0.003059831215068698,0.015277777777777777
Arterial endothelium,F,imu,SLC7A8,720,0.0012503534089773893,0.005555555555555556
Arterial endothelium,F,imu,SLCO1A2,720,0.0,0.0
Arterial endothelium,F,imu,SLCO1B1,720,0.0,0.0
Arterial endothelium,F,imu,SLCO1B3,720,0.0038024201057851315,0.006944444444444444
Arterial endothelium,F,imu,SLCO2B1,720,0.015106038190424442,0.04722222222222222
Arterial endothelium,F,imu,SLCO4A1,720,0.028874561190605164,0.09027777777777778
Arterial endothelium,H,epi,ABCB1,11,0.2052576094865799,0.45454545454545453
Arterial endothelium,H,epi,ABCB11,11,0.0,0.0
Arterial endothelium,H,epi,ABCC1,11,0.045556019991636276,0.18181818181818182
Arterial endothelium,H,epi,ABCC2,11,0.0,0.0
Arterial endothelium,H,epi,ABCC3,11,0.024571506306529045,0.09090909090909091
Arterial endothelium,H,epi,ABCC4,11,0.07436230778694153,0.2727272727272727
Arterial endothelium,H,epi,SLC10A1,11,0.0,0.0
Arterial endothelium,H,epi,SLC10A2,11,0.0,0.0
Arterial endothelium,H,epi,SLC13A5,11,0.0,0.0
Arterial endothelium,H,epi,SLC14A1,11,0.0,0.0
Arterial endothelium,H,epi,SLC14A2,11,0.0,0.0
Arterial endothelium,H,epi,SLC15A3,11,0.0,0.0
Arterial endothelium,H,epi,SLC15A4,11,0.0,0.0
Arterial endothelium,H,epi,SLC16A10,11,0.0,0.0
Arterial endothelium,H,epi,SLC1A4,11,0.024942992255091667,0.09090909090909091
Arterial endothelium,H,epi,SLC1A5,11,0.0573573112487793,0.18181818181818182
Arterial endothelium,H,epi,SLC22A7,11,0.0,0.0
Arterial endothelium,H,epi,SLC36A2,11,0.0,0.0
