gene,Absorptive,B_plasma,Basal,Conventional_CD4,Conventional_CD8,Cycling_T/NK,Cycling_endothelia,Cycling_epithelia,DC,Enteroendocrine,Epithelial_progenitor,Epithelial_stem,Erythrocyte,Fibroblast,Glia,Granulocyte,Immature_B,Intestinal_Cajal_cell,Keratinocyte,Lymphatic_endothelia,Lymphoid_stromal_cell,Macrophage,Mature_B,Megakaryocyte/platelet,Melanocyte,Mesoderm,Mesothelium,Microfold,Monocyte,Myoblast/myocyte,Myofibroblast,NK,Neuron,Neuron_progenitor,Pericyte,Salivary/Submucosal_glands,Secretory,Smooth_muscle,Transit_amplifying,Treg,Unconventional_T/ILC,Vascular_endothelia,signature_variance
SRGN,1.0,576.106488412536,1.0,2539.74453948179,1893.17166236275,1149.48477358541,217.711828984626,1.0,2419.54698008917,1.0,1.0,1.0,434.292607796533,1.0,1.0,4179.06097852133,145.304115804773,1.0,1.0,97.9964375169202,1.0,2055.95938525555,333.440346881021,2137.22127161712,1.0,1.0,1.0,1.0,4809.38718781338,1.0,1.0,3192.19730416087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3399.87540762435,1960.07026177121,508.51593510239,10.510789047007169
LYZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1850.35918550795,4051.42306993632,1542.41265031785,1.0,107.479958022656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2367.43238970277,1.0,1.0,1.0,1.0,1.0,1072.70034154964,7806.73807293238,1.0,1.0,1.0,1.0,1.0,1.0,52832.9754297294,12771.8165176214,1.0,195.205650070058,1.0,1.0,1.0,9.92034974189243
SPARC,1.0,1.0,1.0,1.0,1.0,1.0,1210.91998996635,1.0,1.0,1.0,97.4018983111787,1.0,1.0,1841.7677180799,2597.19035904886,1.0,1.0,432.506369408241,1.0,156.887138852826,1362.93752885362,1.0,1.0,1430.15482003675,406.76284654541,2328.76146766618,2559.82320489315,1.0,1.0,1377.22448707233,1655.61371772736,1.0,109.925861867514,1005.38131821221,2705.57347163526,1.0,1.0,703.828843961585,1.0,1.0,1.0,857.863052502999,9.724187365462218
MDK,274.232836494956,1.0,1.0,1.0,1.0,1.0,723.790293619544,224.435070915129,1.0,1393.85415448834,760.285591206185,135.547310726281,1.0,1571.91547560282,2230.24822313661,1.0,1.0,2451.65981837434,1.0,346.244926055585,1449.14385593645,1.0,1.0,1.0,1.0,3117.29500925144,2165.5376788013,248.143509453224,1.0,986.692450034186,1723.65106496972,1.0,1879.14695348156,2782.15101973161,1078.98136294832,101.984770143112,231.001211832401,1540.5024527661,114.960970272613,1.0,1.0,268.087027146595,9.418292559846082
VIM,1.0,593.136589955409,1.0,982.928107271009,997.249529795911,2376.41814853236,5335.46303437474,1.0,2702.19370948002,110.77748082523,146.103545010874,1.0,535.764419295725,5172.28449620378,13339.9503025055,4126.03669134252,292.854059045534,6576.61452074471,1.0,6429.1817314432,5662.51270128378,954.042500128638,447.990619274223,409.329930724786,10703.6853607715,3753.13365291413,2570.45394780957,1.0,2987.43308342018,3105.5063476114,3286.87193832428,965.200876977013,825.134572238343,8639.240308084,6038.63470885046,1.0,1.0,4264.64319421353,1.0,536.036283275064,1099.77408863355,6663.27933493646,9.337713251449353
IGFBP7,1.0,1.0,1.0,1.0,1.0,1.0,3489.88660645739,1.0,1.0,1.0,1.0,1.0,1.0,1772.9722974511,1381.19089011693,1.0,1.0,99.2132936534347,1.0,5280.78318352023,925.384874418703,1.0,1.0,1.0,1329.93098738487,137.714256793134,93.1703666056913,1.0,1.0,1.0,536.653003744267,1.0,1.0,437.401036024836,5064.97824797989,1.0,1.0,1861.02915645985,1.0,1.0,1.0,3059.23077251132,9.258963222314847
IGKC,1.0,229920.676735802,1.0,450.203863454948,619.678776698937,386.746220049952,1.0,326.540734441224,326.653582651625,404.462196157193,1.0,1.0,1.0,1.0,1.0,852.94542327687,2972.34825289883,1.0,1.0,173.696944271413,1.0,209.081712173355,2661.95097594738,1.0,1.0,1.0,1.0,58.5515230354247,360.856208841312,1.0,1.0,173.234136468468,1.0,1.0,1.0,47.9713607866176,645.910924618043,1.0,198.014455616747,430.798811324274,164.370094856457,1.0,9.137353605665608
RGS1,1.0,1124.18907615942,1.0,1834.56505475275,1507.90148686286,716.664881616598,1.0,1.0,1293.3840173854,1.0,1.0,1.0,298.810123994671,1.0,1.0,4992.97699119277,388.745238033149,1.0,1.0,1.0,1.0,1107.23298503654,673.720896332157,1.0,1.0,1.0,1.0,1.0,309.54070855957,1.0,1.0,992.756245232025,1.0,1.0,1.0,1.0,1.0,80.0016748687234,1.0,2990.40659118774,1837.56771194741,1.0,9.108160409835968
COL3A1,1.0,1.0,1.0,1.0,1.0,1.0,163.171085421032,1.0,1.0,1.0,1.0,1.0,1.0,4657.33058764805,575.028488828028,1.0,1.0,1054.79562998031,1.0,1.0,1918.61807325749,1.0,1.0,1.0,1.0,4561.13010663649,2025.78708339571,1.0,1.0,1127.64875067814,2843.46560217121,1.0,1.0,1.0,2729.72886077761,1.0,1.0,1166.69861595267,1.0,1.0,1.0,1.0,8.905160773621223
ANXA1,1.0,1.0,752.555431104113,869.172730621606,826.829229434091,446.082772155098,467.27887698155,817.43180161742,646.242957882254,1.0,1.0,1.0,1.0,302.078546982664,476.670020545385,3965.9211847424,1.0,1.0,7323.32924990993,410.707857146413,1.0,347.533354844606,1.0,1.0,1181.28084762408,1.0,338.744920690225,1.0,712.566670544493,1.0,1.0,601.936621910165,1.0,1.0,160.316068827826,450.908590237974,1.0,1.0,1.0,1.0,484.69390616063,518.536808098425,8.902903815922146
